Genes,M_Log2FC,S_Log2FC,GB_log2FC,TTT-GB-Log2fc,Sham_C-1 Counts,Sham_C-2 Counts,Sham_C-3 Counts,TT_Treatment-1 Counts,TT_Treatment-2 Counts,TT_Treatment-3 Counts,GBT-P-adj,MSG_Regulated,Control_GB-TT-Exp,Glioblastoma_TT-Exp,GB-TT-Regulated,GBT-UP,GBT-DOWN,GeneID
Trim33,-0.382044149,-0.396727088,-0.62960115,-0.141070982,1927.988261,2080.784422,2080.5653,1935.466173,1624.311485,1963.73569,0.772442232,1,1,1,0,0,0,ENSMUSG00000033014
Nfatc1,-1.070419458,-0.56082792,-0.674350028,0.241909423,629.0098272,842.9751916,663.6401214,844.5896732,708.6733299,974.5465438,0.608779709,1,1,1,0,0,0,ENSMUSG00000033016
Lmo7,-1.241566961,-0.75511702,-1.122371513,-0.334381413,2635.99002,3087.294994,3275.385115,2377.041039,2057.568589,2700.746682,0.160218024,1,1,1,0,0,0,ENSMUSG00000033060
Pfkm,-0.622630362,-0.445992038,-0.893458778,-0.303131503,951.8040177,880.9226278,1147.990371,730.1533699,918.0540865,762.2288076,0.32964403,1,1,1,0,0,0,ENSMUSG00000033065
Nol12,1.045163907,1.129167226,0.922348425,0.372562491,161.8846997,160.824849,160.5580939,240.0674623,185.2214385,202.5560012,0.40877667,1,1,1,0,0,0,ENSMUSG00000033099
Dis3,0.492922123,0.695322169,0.630652842,0.055773791,626.0842001,671.3082179,561.9533286,619.4486852,622.5050955,692.2697068,0.957390314,1,1,1,0,0,0,ENSMUSG00000033166
Ttc28,-1.487941085,-0.515888067,-0.954344239,-0.080307321,1516.450049,1872.073523,1449.036797,1506.330036,1463.249364,1609.059319,0.924299708,1,1,1,0,0,0,ENSMUSG00000033209
AA467197,8.84755757,3.727716472,7.463322248,6.548861594,0.975209034,1.807020775,0,124.3872862,128.8496963,36.60650624,8.80E-10,1,0,1,1,1,0,ENSMUSG00000033213
Rac2,1.10494609,1.905627348,3.340167258,2.355643196,12.67771745,18.07020775,10.70387293,60.94977023,98.24789347,55.31649831,6.50E-06,1,1,1,1,1,0,ENSMUSG00000033220
Noc4l,1.778278678,0.906292408,1.334697147,0.351961607,43.88440655,37.04392589,24.08371408,55.97427878,43.48677252,36.60650624,0.857595811,1,1,1,0,0,0,ENSMUSG00000033294
Mif,1.05025488,0.867460414,1.392690047,0.568553706,51.68607883,77.70189333,44.15347582,75.87624457,111.1328631,71.58605664,0.46306019,1,1,1,0,0,0,ENSMUSG00000033307
Specc1l,-0.751273478,-0.587515009,-0.607080362,-0.094629506,3925.216364,4656.692537,4076.837601,3857.249744,3640.809232,4357.801198,0.890187483,1,1,1,0,0,0,ENSMUSG00000033444
Crlf2,0.657115279,1.303343658,0.938188872,0.530694692,109.2234119,176.1845256,115.066634,177.8738192,202.1329611,200.1155674,0.223801659,1,1,1,0,0,0,ENSMUSG00000033467
Cysltr2,0.740047741,-0.778900423,-1.244200653,-0.207541977,424.21593,542.1062325,386.6774095,350.772147,408.2924753,413.2467815,0.746175937,1,1,1,0,0,0,ENSMUSG00000033470
Casp4,5.097190753,0.887944003,2.815115553,1.68770884,46.81003365,54.21062325,57.53331698,149.2647434,248.0356655,111.4464745,6.26E-06,1,1,1,1,1,0,ENSMUSG00000033538
Dph5,1.748696302,1.40204172,0.95608521,0.105181969,119.9507112,112.9387984,113.7286498,136.8260148,116.7700373,120.3947316,0.947983693,1,1,1,0,0,0,ENSMUSG00000033554
Myo6,-0.62298633,-0.602464433,-1.137101659,-0.337707957,4253.861808,4280.832216,4772.589341,3615.938409,3193.056538,3720.034511,0.061516966,1,1,1,0,0,0,ENSMUSG00000033577
Foxn3,-1.125753687,-0.498878159,-0.747231291,-0.269717291,2485.807829,2903.882386,2230.419521,2134.485831,2064.011073,2126.431273,0.279456903,1,1,1,0,0,0,ENSMUSG00000033713
Akr1c14,-1.488602259,-1.196295896,-1.573989721,-0.217560974,1235.589847,1447.423641,1297.844592,1093.364246,1030.797571,1299.124232,0.546917179,1,1,1,0,0,0,ENSMUSG00000033715
Adra2a,1.313348261,-1.065299105,-1.074545098,0.331590337,113.124248,179.7985671,129.7844592,167.9228363,198.9117187,165.9494949,0.636773652,1,1,1,0,0,0,ENSMUSG00000033717
Sf3b3,0.433612088,0.361254356,0.531929716,0.218743043,1316.532197,1602.827427,1340.660084,1594.645009,1621.090242,1743.283175,0.477861106,1,1,1,0,0,0,ENSMUSG00000033732
Mtss2,-0.580139338,-0.690347672,-0.549786464,-0.147118358,1818.764849,1829.608535,1906.627365,1602.108246,1716.922204,1694.4745,0.700915178,1,1,1,0,0,0,ENSMUSG00000033763
Tlr13,1.368414652,1.813612848,1.725483665,1.371823233,49.73566076,96.67561147,69.57517402,216.433878,177.9736431,167.5764508,3.02E-05,1,1,1,1,1,0,ENSMUSG00000033777
Ston1,0.494513418,-0.664434424,-1.212583778,0.202492446,571.4724942,759.8522359,576.6711539,731.3972427,682.09808,785.0061893,0.697017647,1,1,1,0,0,0,ENSMUSG00000033855
Lgals3bp,2.645943643,0.775947683,1.034599004,1.200918753,1024.944695,1143.844151,810.8183742,2238.971151,2353.11758,2268.789909,9.47E-15,1,1,1,1,1,0,ENSMUSG00000033880
Ccp110,0.857862268,-0.489468106,-0.595198143,-0.171347693,1035.671995,824.9049838,1103.836896,849.5651646,902.753185,876.1157159,0.747827942,1,1,1,0,0,0,ENSMUSG00000033904
Jcad,-2.013481422,-1.11478605,-1.196796999,-0.212909511,40831.02706,42238.20711,37347.15062,36475.3278,30110.56342,37313.41855,0.439567424,1,1,1,0,0,0,ENSMUSG00000033960
Slc16a2,-3.016396025,-0.491690603,-1.333965976,-0.324820396,2439.973004,3063.803724,1941.414952,1767.543337,1684.70978,2493.309814,0.413485106,1,1,1,0,0,0,ENSMUSG00000033965
Rfc3,0.759319353,0.916301125,1.165067309,0.111648443,65.33900531,71.37732062,48.16742817,93.29046463,43.48677252,65.89171122,0.96571605,1,1,1,0,0,0,ENSMUSG00000033970
Kcnk1,0.639494558,-1.082647715,-1.060329061,0.211009159,475.9020088,418.3253094,568.6432492,610.7415751,419.5668237,661.357546,0.777976225,1,1,1,0,0,0,ENSMUSG00000033998
