Genes,M_Log2FC,S_Log2FC,GB_log2FC,TTT-GB-Log2fc,Sham_C-1 Counts,Sham_C-2 Counts,Sham_C-3 Counts,TT_Treatment-1 Counts,TT_Treatment-2 Counts,TT_Treatment-3 Counts,GBT-P-adj,MSG_Regulated,Control_GB-TT-Exp,Glioblastoma_TT-Exp,GB-TT-Regulated,GBT-UP,GBT-DOWN,GeneID
Amer2,1.113554339,-1.103339422,-1.990469886,-0.299236768,1149.771452,960.4315419,1303.196529,915.4904263,841.5495793,1013.593484,0.319752282,1,1,1,0,0,0,ENSMUSG00000021986
Epsti1,4.347083927,1.020183733,3.84781874,2.92796625,60.46296014,59.63168558,32.11161878,416.6974087,489.6288461,269.2611903,6.34E-24,1,1,1,1,1,0,ENSMUSG00000022014
Akap11,0.470509677,-0.592759504,-1.208883427,-0.241258983,7127.802833,7201.881299,8009.172917,6307.679282,6205.7235,6382.547732,0.224283534,1,1,1,0,0,0,ENSMUSG00000022016
Dpysl2,-0.401384733,-0.519513542,-1.402114576,-0.368849036,6286.197436,5957.747495,6926.743767,4505.307505,5257.067611,5076.915676,0.031693254,1,1,1,1,0,1,ENSMUSG00000022048
Tnfrsf10b,2.235373114,1.444375759,0.903096436,0.029036736,81.9175589,93.06156992,89.64493576,79.60786315,86.97354504,102.4982175,0.992374591,1,1,1,0,0,0,ENSMUSG00000022074
Ppp3cc,-0.378827479,-0.390616817,-0.658800862,-0.099215611,445.6705288,457.1762561,495.0541228,465.2084503,407.4871647,432.7702515,0.913509862,1,1,1,0,0,0,ENSMUSG00000022092
Gfra2,0.492524146,-1.127767536,-2.198426653,-0.155825774,644.6131718,783.343506,646.2463279,638.1067781,539.5581035,686.5753614,0.816997355,1,1,1,0,0,0,ENSMUSG00000022103
Uchl3,3.044889968,2.024468993,1.038895587,-0.034392167,78.01672276,77.70189333,56.19533286,82.09560888,68.45140119,58.57040998,0.99161772,1,1,1,0,0,0,ENSMUSG00000022111
Acod1,13.24113492,4.999903193,7.174750655,6.762369671,1.950418069,0,0,90.80271891,111.1328631,23.59085957,3.39E-07,1,0,1,1,1,0,ENSMUSG00000022126
Fyb1,1.204054041,1.35762105,2.61657873,1.998716229,113.124248,99.38614263,109.7146975,503.768509,504.9297476,279.8364032,1.21E-14,1,1,1,1,1,0,ENSMUSG00000022148
Psme1,2.151820321,0.757770808,0.504903988,0.495217889,2854.436844,3592.357301,2912.79142,4623.475427,4467.05791,4108.063478,0.003279054,1,1,1,1,1,0,ENSMUSG00000022216
Ripk3,2.423409308,1.31527602,1.330249624,0.445048212,67.28942338,48.78956093,52.18138052,59.70589737,86.16823443,82.16126955,0.639376675,1,1,1,0,0,0,ENSMUSG00000022221
Zscan26,-0.323856764,-0.446548621,-0.617026552,-0.193257199,781.1424366,684.8608738,674.3439943,650.5455067,616.0626107,607.6680035,0.64511804,1,1,1,0,0,0,ENSMUSG00000022228
Sema5a,0.941289646,-0.957280628,-1.754246378,-0.267453355,1043.473667,1165.5284,957.9966269,758.7624457,900.3372532,970.4791542,0.399142882,1,1,1,0,0,0,ENSMUSG00000022231
Cmbl,-0.619018594,-1.220801727,-1.455463086,-0.291443228,1071.754729,1685.046873,1121.230689,1123.217194,782.7619053,1265.771638,0.592413266,1,1,1,0,0,0,ENSMUSG00000022235
Tars1,0.885430522,0.753827605,1.319920734,0.360198781,275.9841568,365.921707,398.7192665,436.5993745,442.1155206,453.9206773,0.292541243,1,1,1,0,0,0,ENSMUSG00000022241
Brix1,0.852960925,0.639746427,0.596578425,0.015582071,316.9429362,331.5883122,258.2309343,329.6263084,250.4515973,340.033769,0.99424285,1,1,1,0,0,0,ENSMUSG00000022247
Ank,-0.835682044,-0.358193521,-1.002004356,-0.139531431,971.3081983,993.8614263,1123.906657,962.757595,885.8416624,954.2095959,0.793362008,1,1,1,0,0,0,ENSMUSG00000022265
Pabpc1,0.371674977,0.436437467,0.763631107,0.282932084,4913.103116,6433.89747,5216.800067,6955.737043,6624.485014,6576.968954,0.225576264,1,1,1,0,0,0,ENSMUSG00000022283
Rrm2b,-0.526881094,-0.599721079,-0.695962681,-0.155454043,714.8282223,959.5280316,739.905216,735.1288613,696.5936709,738.637948,0.808941359,1,1,1,0,0,0,ENSMUSG00000022292
Fzd6,-2.701105137,-0.566445443,-0.535449442,-0.230266138,2869.064979,3642.050372,3076.025482,2674.326653,2301.577701,3197.781689,0.545312846,1,1,1,0,0,0,ENSMUSG00000022297
Slc25a32,-1.278965741,-0.486846038,-0.802049759,-0.236434793,1121.49039,1162.817869,1113.202784,983.9034337,732.0273374,1168.967766,0.61439624,1,1,1,0,0,0,ENSMUSG00000022299
Dcaf13,0.687925975,0.700943921,0.760711938,0.178297895,602.6791833,594.509835,551.2494557,605.7660837,690.1511861,681.6944939,0.710595936,1,1,1,0,0,0,ENSMUSG00000022300
Oxr1,-0.632282968,-0.571136344,-0.662483896,-0.162776624,1809.012759,1732.029413,2036.411824,1614.546975,1619.479621,1744.096653,0.675851595,1,1,1,0,0,0,ENSMUSG00000022307
Sybu,-1.004331869,-0.99603881,-1.583056463,-0.510696634,260.3808122,234.9127008,313.0882831,199.0196579,186.0267491,181.4055753,0.102062574,1,1,1,0,0,0,ENSMUSG00000022340
Myc,4.243256276,2.201918933,4.865421853,2.545457447,2.925627103,12.64914543,8.027904695,52.2426602,32.21242409,54.5030204,0.000294937,1,0,1,1,1,0,ENSMUSG00000022346
Mtss1,-2.725591117,-0.678837058,-0.756419461,-0.365864852,1534.97902,2046.451028,1736.703382,1250.092226,1323.93063,1551.302386,0.129940668,1,1,1,0,0,0,ENSMUSG00000022353
Fbxo32,0.852866892,-0.775904582,-1.247638229,-0.097214681,1475.491269,1768.169828,1588.187145,1654.350906,1522.842349,1343.865518,0.900251906,1,1,1,0,0,0,ENSMUSG00000022358
Zhx1,-0.487273747,-0.548302371,-0.644307176,-0.150229481,3486.372298,3947.436883,3690.160191,3584.841588,2921.666865,3520.732422,0.73734453,1,1,1,0,0,0,ENSMUSG00000022361
Sla,2.164257625,1.720558364,2.395411233,1.802306851,132.6284287,140.0441101,121.7565545,476.4033061,530.6996868,372.5728857,2.53E-17,1,1,1,1,1,0,ENSMUSG00000022372
Cyrib,0.73124757,0.680520478,0.904860624,0.477502108,883.5393852,846.5892331,923.2090399,1260.043209,1430.231629,1003.018271,0.028173437,1,1,1,1,1,0,ENSMUSG00000022378
Zc3h7b,-0.437551444,-0.32637848,-0.58248415,-0.071652696,2355.129818,2392.495506,2342.810187,2136.973577,2188.028906,2420.096801,0.918312157,1,1,1,0,0,0,ENSMUSG00000022390
Xrcc6,-0.741199722,0.842392375,1.081239712,0.343961434,144.3309371,102.0966738,151.1922051,151.7524891,207.7701354,142.3586354,0.644781118,1,1,1,0,0,0,ENSMUSG00000022471
Vdr,5.911459273,2.41687846,3.871264154,3.177197922,8.77688131,3.61404155,1.337984116,33.58456727,75.6991966,18.70999208,0.000283992,1,0,1,1,1,0,ENSMUSG00000022479
Nckap1l,0.493185821,0.963958326,1.738959876,1.454397083,141.40531,214.1319618,145.8402686,442.8187388,580.6289442,354.6763715,1.29E-08,1,1,1,1,1,0,ENSMUSG00000022488
Nubp1,0.506762737,0.925097844,1.241179134,0.264820567,76.06630469,105.7107153,68.2371899,111.9485576,97.44258286,93.54996038,0.837415434,1,1,1,0,0,0,ENSMUSG00000022503
Mefv,3.938557792,3.574500823,5.789622267,4.963364377,0,2.710531163,0,22.38971151,57.98236336,13.82912458,0.00022011,1,0,1,1,1,0,ENSMUSG00000022534
Lsg1,0.537538784,0.449897853,1.124517941,0.156982464,266.2320664,268.3425851,311.750299,349.5282742,280.2480896,314.0024757,0.855599123,1,1,1,0,0,0,ENSMUSG00000022538
Sharpin,-0.437913891,0.349387417,0.788675826,0.363593918,212.5955695,185.2196294,156.5441415,208.9706408,289.1065062,215.5716478,0.472963668,1,1,1,0,0,0,ENSMUSG00000022552
Bop1,0.943419843,1.125938094,1.011940339,0.234812149,124.8267564,126.4914543,107.0387293,119.4117947,157.840878,143.9855912,0.819255034,1,1,1,0,0,0,ENSMUSG00000022557
Gpaa1,-0.440403561,0.593639233,0.807276261,-0.168210379,110.1986209,114.7458192,81.61703106,89.55884605,99.05320407,85.41518122,0.916938586,1,1,1,0,0,0,ENSMUSG00000022561
Gsdmd,1.913411684,0.429574077,1.106258137,0.734050077,183.3392985,194.2547333,145.8402686,242.5552081,400.2393693,228.5872945,0.035349088,1,1,1,1,1,0,ENSMUSG00000022575
Ly6c2,3.370815337,0.820039404,4.752346927,4.184247958,0,1.807020775,4.013952347,33.58456727,41.87615131,21.96390374,5.89E-05,1,0,1,1,1,0,ENSMUSG00000022584
Lynx1,-0.811136373,-0.468228179,-1.768767222,-0.478573038,1471.590433,1316.414635,2083.241268,1120.729448,1146.762298,1223.470786,0.053279721,1,1,1,0,0,0,ENSMUSG00000022594
Mapk12,-0.451701179,0.599877923,1.377567333,0.206984563,134.5788468,150.8862347,77.60307871,100.7537018,143.3452872,175.7112299,0.902907207,1,1,1,0,0,0,ENSMUSG00000022610
Alcam,0.712025898,-0.603306565,-1.378458403,-0.433380177,2001.128939,2209.986408,1849.094048,1771.274955,1524.45297,1198.252971,0.063508401,1,1,1,0,0,0,ENSMUSG00000022636
Retnlg,1.639865359,2.780482129,4.554249854,1.023150368,4.876045172,1.807020775,1.337984116,8.707110033,2.415931807,5.694345414,0.863191484,1,0,0,0,0,0,ENSMUSG00000022651
Cd200,2.848560637,0.766378292,0.603306525,0.280313863,1600.318026,1518.800961,1137.286498,1786.20143,1915.028612,1474.021984,0.420980608,1,1,1,0,0,0,ENSMUSG00000022661
B3gnt5,2.226196379,1.685239011,2.909245165,1.777389933,30.23148007,28.00882201,24.08371408,131.8505234,76.50450721,77.28040205,4.96E-05,1,1,1,1,1,0,ENSMUSG00000022686
Zbtb20,-0.697273817,-0.705671762,-1.067527907,-0.11879905,17265.10075,18205.73431,17104.78894,16461.41345,15393.51216,16567.29124,0.763925565,1,1,1,0,0,0,ENSMUSG00000022708
Crybg3,-0.365484999,-0.54692131,-0.610914126,-0.127327909,2550.171625,2697.882017,2617.09693,2377.041039,2196.082012,2627.53367,0.792823523,1,1,1,0,0,0,ENSMUSG00000022723
Tfrc,-2.006394175,-1.261794303,-0.56971379,0.232819168,4828.25993,4455.209721,3971.136856,6113.635116,4271.367434,5198.937363,0.517596582,1,1,1,0,0,0,ENSMUSG00000022797
Umps,0.520303749,0.779261683,0.916835831,0.452668503,95.57048538,123.7809231,103.0247769,160.4595992,136.0974918,146.4260249,0.363364074,1,1,1,0,0,0,ENSMUSG00000022814
Hcls1,2.023371345,1.824799983,2.81069537,1.87164679,64.36379628,93.06156992,38.80153936,233.848098,335.0092105,157.0012379,3.43E-07,1,1,1,1,1,0,ENSMUSG00000022831
Adcy5,0.641733165,-0.887996864,-2.083013251,-0.484946533,2315.146248,2443.092088,2926.171261,1920.539699,1924.692339,1644.038869,0.007336776,1,1,1,1,0,1,ENSMUSG00000022840
Slc49a4,-0.601171892,-0.355614891,-0.599572477,-0.052747205,550.0178954,568.3080338,476.3223452,472.6716875,531.5049974,533.6415131,0.962149099,1,1,1,0,0,0,ENSMUSG00000022848
Samsn1,2.802875705,1.828674068,2.841651104,2.179443201,65.33900531,59.63168558,36.12557113,304.7488511,287.495885,146.4260249,1.77E-10,1,1,1,1,1,0,ENSMUSG00000022876
Adamts1,3.790683404,1.450325806,1.209164383,0.066654475,2622.337094,4138.981085,3815.930698,3202.972619,3576.384384,4294.34992,0.955585787,1,1,1,0,0,0,ENSMUSG00000022893
Runx1,1.82891729,1.038139836,1.589702829,1.090150829,168.711163,213.2284515,112.3906657,404.2586801,365.6110134,291.2250941,0.000117543,1,1,1,1,1,0,ENSMUSG00000022952
Enah,0.386586555,-0.540095138,-1.262157796,-0.26349423,3540.984004,3408.944692,3817.268682,3255.215279,3080.313053,2635.668449,0.265165685,1,1,1,0,0,0,ENSMUSG00000022995
Soat2,2.854824757,1.058679209,3.111157567,0.472387562,7.801672276,6.324572713,1.337984116,1.243872862,12.88496963,7.321301247,0.947983693,1,0,0,0,0,0,ENSMUSG00000023045
Calcoco1,-0.795453919,-0.582461424,-0.791206617,-0.059009972,824.0516341,1012.835144,921.8710558,837.126436,889.0629048,920.8570013,0.950810936,1,1,1,0,0,0,ENSMUSG00000023055
Nus1,2.413806975,0.815099232,0.603031061,0.052928089,1283.375089,1410.379715,1261.719021,1343.382691,1342.452774,1418.705486,0.95040544,1,1,1,0,0,0,ENSMUSG00000023068
Abcc1,0.62325241,0.780334019,0.828475916,0.406076183,395.934868,433.684986,367.9456318,531.133712,559.6908685,498.6619627,0.097184713,1,1,1,0,0,0,ENSMUSG00000023088
Bsg,-3.518021706,-0.842949377,-1.033272168,-0.228786509,25905.45279,32336.63677,34443.72509,25745.68049,21815.86421,31529.59056,0.572415757,1,1,1,0,0,0,ENSMUSG00000023175
Parp3,2.825774539,0.498901258,1.920046035,1.207730512,171.6367901,213.2284515,136.4743798,361.9670028,518.6200278,327.8316003,5.49E-06,1,1,1,1,1,0,ENSMUSG00000023249
Clec4n,2.423799057,0.753411016,1.656124833,1.249125972,38.03315234,63.24572713,41.47750759,134.3382691,140.1240448,67.51866706,0.007905069,1,1,1,1,1,0,ENSMUSG00000023349
Pisd,1.657024272,0.910212512,0.638158961,0.240342087,224.2980779,299.0619383,220.7673791,258.7255553,318.0976879,302.6137849,0.722317773,1,1,1,0,0,0,ENSMUSG00000023452
Tiam2,-0.897573439,-0.746209171,-0.911912515,-0.573848608,365.7033879,273.7636474,362.5936954,252.5061909,235.1506958,186.2864428,0.055423115,1,1,1,0,0,0,ENSMUSG00000023800
Nfkbie,3.546862008,1.004075304,1.999303084,1.616277649,74.11588662,103.9036946,82.95501518,318.4314526,323.7348621,161.0686274,4.96E-07,1,1,1,1,1,0,ENSMUSG00000023947
Emilin2,1.927719388,2.818727122,2.595893808,1.397646186,32.18189814,19.87722853,50.8433964,83.33948174,110.3275525,72.39953456,0.005124765,1,1,1,1,1,0,ENSMUSG00000024053
Prkd3,-0.776877886,-0.480232115,-0.491670865,-0.091007218,2799.825138,3472.190419,2663.926375,2669.351161,2612.427593,3109.926074,0.911883992,1,1,1,0,0,0,ENSMUSG00000024070
Ralbp1,-0.488452012,-0.50673808,-0.770240676,-0.126694203,2284.914768,2508.144836,2227.743553,2246.434388,1976.232218,2211.846455,0.796370942,1,1,1,0,0,0,ENSMUSG00000024096
Epas1,-0.98177307,-0.49245436,-1.07009962,-0.288260719,49740.5368,58764.31561,45175.69568,41054.0238,36606.19873,48189.61829,0.277840023,1,1,1,0,0,0,ENSMUSG00000024140
C3,5.174043136,2.608759389,5.867424541,7.155663213,38.03315234,11.74563504,28.09766643,4909.566186,3907.367042,2246.012527,3.98E-35,1,1,1,1,1,0,ENSMUSG00000024164
Jpt2,1.67495394,1.132805113,1.116670898,0.49443525,192.1161798,283.7022617,184.641808,338.3334184,276.2215365,320.510299,0.170722054,1,1,1,0,0,0,ENSMUSG00000024165
Tmem204,-1.28458128,-0.377015088,-1.07728086,-0.120027611,1524.251721,1527.836065,1339.3221,1171.728236,1169.310994,1698.541889,0.893099884,1,1,1,0,0,0,ENSMUSG00000024168
Telo2,-0.585420551,0.685844284,0.708053236,0.065589234,201.8682701,222.2635553,155.2061574,160.4595992,252.8675291,192.7942662,0.969980145,1,1,1,0,0,0,ENSMUSG00000024170
Nudt12,-2.440584948,-0.664395592,-1.015241762,-0.238861467,331.5710717,291.8338552,289.004569,269.920411,217.4338626,287.1577045,0.694561757,1,1,1,0,0,0,ENSMUSG00000024228
Mib1,-0.521554452,-0.478828398,-0.607626255,-0.204575802,6265.718047,7099.784625,6806.325197,5997.95494,5446.315603,6062.037433,0.409455912,1,1,1,0,0,0,ENSMUSG00000024294
Zfp871,-0.323840644,-0.385701192,-0.554178968,-0.132076161,2575.52706,2730.408391,2325.416393,2353.407455,2307.214875,2307.023371,0.769777968,1,1,1,0,0,0,ENSMUSG00000024298
Myo1f,0.730502805,1.74923004,2.51181374,1.844836756,49.73566076,83.12295565,80.27904695,246.2868266,340.6463847,176.5247078,8.70E-09,1,1,1,1,1,0,ENSMUSG00000024300
Dtna,0.643651762,-0.672348693,-1.451436427,-0.357512798,1450.135834,1017.352696,1362.06783,976.4401965,1032.408192,977.8004555,0.173229076,1,1,1,0,0,0,ENSMUSG00000024302
Wdr46,0.43322778,1.197283596,1.113964091,0.514189673,90.69444021,113.8423088,105.7007451,135.5821419,166.6992947,139.9182016,0.254972249,1,1,1,0,0,0,ENSMUSG00000024312
Psmb8,3.361368212,0.688213556,1.765816689,1.379549504,209.6699424,177.9915463,141.8263163,447.7942302,576.6023912,357.9302832,1.77E-08,1,1,1,1,1,0,ENSMUSG00000024338
Tap2,2.870906923,0.416393094,0.849376123,0.747790312,494.4309805,533.974639,465.6184723,784.8837758,1020.328533,704.4718756,0.000301068,1,1,1,1,1,0,ENSMUSG00000024339
Sting1,4.387843709,1.604692115,3.485491126,2.252536619,37.05794331,52.40360248,36.12557113,203.9951493,223.8763474,175.7112299,1.64E-14,1,1,1,1,1,0,ENSMUSG00000024349
Lama3,-1.83383095,-0.634540824,-1.349351682,-0.470482024,1800.235878,2338.284883,1688.535954,1495.13518,1308.629729,1406.503317,0.02359626,1,1,1,1,0,1,ENSMUSG00000024421
Mrps18b,1.016452318,1.06820442,1.346744219,0.368499365,20.47938972,21.6842493,33.44960289,27.36520296,26.57524987,42.30085165,0.883106338,1,1,1,0,0,0,ENSMUSG00000024436
Lars1,0.425395652,0.382952614,0.533525029,0.147347373,968.3825712,1163.721379,972.7144522,1038.63384,1139.514502,1260.077292,0.797351808,1,1,1,0,0,0,ENSMUSG00000024493
Sec11c,-0.609001744,0.527830659,1.200350233,0.410291379,315.9677272,366.8252173,322.4541719,493.8175261,414.7349601,431.1432957,0.130983779,1,1,1,0,0,0,ENSMUSG00000024516
Ptpn2,1.601931253,0.782604346,1.03406385,0.284272882,236.9757954,272.860137,326.4681242,328.3824355,343.8676271,342.4742028,0.535430846,1,1,1,0,0,0,ENSMUSG00000024539
Psat1,0.553087389,0.505141631,1.004843763,0.16774858,163.8351178,173.4739944,191.3317286,176.6299464,244.0091125,170.8303624,0.888346626,1,1,1,0,0,0,ENSMUSG00000024640
Cyb5a,-0.341112164,0.373603165,-0.67655335,-0.143266068,799.6714083,840.2646604,721.1734384,697.8126755,694.1777391,747.5862051,0.798458665,1,1,1,0,0,0,ENSMUSG00000024646
Slc22a6,-1.10552382,-1.212023994,-2.732309967,-0.086598336,255.504767,414.7112679,271.6107755,291.0662497,257.6993927,340.033769,0.954694707,1,1,1,0,0,0,ENSMUSG00000024650
Anxa1,2.20766189,0.483907049,1.68212478,0.621604529,317.9181452,471.6324223,270.2727914,562.2305335,547.6112095,527.1336898,0.026460766,1,1,1,1,1,0,ENSMUSG00000024659
Fth1,0.681131378,0.398275973,0.480520573,0.190339641,1369.193484,1349.844519,1511.922051,1537.426857,1758.798355,1526.898049,0.578685961,1,1,1,0,0,0,ENSMUSG00000024661
Ms4a4c,6.417517156,3.254710994,5.241037515,4.520759793,16.57855359,8.131593488,0,184.0931835,263.3365669,129.3429887,0.000492231,1,0,1,1,1,0,ENSMUSG00000024675
Ms4a6b,3.307137787,0.701511001,1.475896081,1.433177267,148.2317732,188.833671,125.7705069,422.916773,471.9120129,361.9976728,2.37E-10,1,1,1,1,1,0,ENSMUSG00000024677
Ms4a6d,4.257756754,2.119359006,2.950292283,1.24552676,45.83482462,58.72817519,30.77363466,93.29046463,119.1859691,111.4464745,0.002485541,1,1,1,1,1,0,ENSMUSG00000024679
Fam111a,0.778889306,1.48214602,2.198472905,0.982457832,161.8846997,195.1582437,159.2201098,348.2844013,366.416324,308.3081303,1.28E-05,1,1,1,1,1,0,ENSMUSG00000024691
Ccdc86,1.22288888,1.046959548,1.078101277,0.592957215,72.16546855,67.76327907,94.99687222,111.9485576,112.7434843,126.902555,0.223713095,1,1,1,0,0,0,ENSMUSG00000024732
Slc15a3,5.533522415,1.772668414,2.173355434,2.008378692,33.15710717,54.21062325,16.05580939,126.8750319,198.1064081,98.43082788,8.72E-06,1,1,1,1,1,0,ENSMUSG00000024737
Cdc42bpg,-0.444575824,-0.503097436,-0.751773723,-0.020847835,473.9515908,515.0009209,552.5874398,426.6483916,463.8589069,624.7510398,0.990677423,1,1,1,0,0,0,ENSMUSG00000024769
Ak3,-0.981069077,-0.666293807,-0.874876087,-0.117013619,2006.004984,2409.662204,1660.438288,1725.251659,1800.674506,2079.249554,0.885415349,1,1,1,0,0,0,ENSMUSG00000024782
Pola2,1.664398022,0.866395292,1.786293063,0.692054022,110.1986209,152.6932555,116.4046181,174.1422007,221.4604156,217.1986037,0.037720409,1,1,1,1,1,0,ENSMUSG00000024833
Pcx,-0.413542902,-0.452629918,-1.223234756,-0.040863886,468.1003365,415.6147783,410.7611235,404.2586801,417.9562025,436.0241632,0.972169679,1,1,1,0,0,0,ENSMUSG00000024892
Apba1,-0.643136207,-0.625778535,-2.020950184,-0.523084493,1652.004104,1865.74895,1699.239827,1216.507659,1325.541251,1089.24693,0.001902084,1,1,1,1,0,1,ENSMUSG00000024897
Ctsw,-1.040459708,2.242722123,1.54769408,0.921032751,17.55376262,22.58775969,24.08371408,33.58456727,65.23015878,21.96390374,0.395962768,1,1,1,0,0,0,ENSMUSG00000024910
Lrp5,-1.508000735,-0.312923107,-0.606729015,0.082626878,1656.88015,2019.345716,1720.647573,1770.031082,1751.55056,2193.136462,0.924299708,1,1,1,0,0,0,ENSMUSG00000024913
Smarca2,-1.818234592,-0.699595249,-1.256908087,-0.088901707,10470.8194,11494.45915,11702.00908,10783.13384,10233.08182,10638.66419,0.872054208,1,1,1,0,0,0,ENSMUSG00000024921
Map4k2,-1.934927856,-0.789567438,-0.599770377,-0.168567042,1420.879563,1314.607614,1375.447671,1065.999043,1262.727024,1324.342048,0.701932318,1,1,1,0,0,0,ENSMUSG00000024948
Prdx5,0.597319142,0.7784432,0.812902339,0.788065248,155.0582365,204.1933476,133.7984116,253.7500638,345.4782483,254.6185878,0.008746478,1,1,1,1,1,0,ENSMUSG00000024953
Gpam,-0.497602831,-0.351575353,-0.982897063,0.017628529,637.7867085,486.0885885,745.2571525,620.692558,680.4874588,586.5175777,0.993258543,1,1,1,0,0,0,ENSMUSG00000024978
Pik3ap1,2.263714566,0.886953588,2.128102309,1.734052223,174.5624172,177.088036,159.2201098,582.1324993,687.7352543,432.7702515,5.71E-16,1,1,1,1,1,0,ENSMUSG00000025017
Mxi1,-0.788836696,-0.715321059,-0.681053387,-0.099208044,1094.184537,1212.51094,1321.928306,1139.387541,1033.213503,1212.895573,0.898324097,1,1,1,0,0,0,ENSMUSG00000025025
Add3,-1.495038855,-0.402615294,-0.901245631,-0.062815975,2901.246878,3305.944508,2920.819325,3082.316952,2585.852344,3074.946524,0.940464984,1,1,1,0,0,0,ENSMUSG00000025026
Nt5c2,-0.852400529,-0.588365866,-0.892009611,-0.069716952,2987.065273,2930.987697,2625.124835,2782.543592,2500.48942,2861.001832,0.925678813,1,1,1,0,0,0,ENSMUSG00000025041
Msr1,2.670689759,1.858358855,2.031971302,1.037786111,119.9507112,100.289653,117.7426022,241.3113352,279.442779,172.4573183,0.00051384,1,1,1,1,1,0,ENSMUSG00000025044
Pdcd11,0.377937992,0.448750264,0.731639883,0.189549132,723.6051036,893.5717733,813.4943424,954.050485,914.0275335,905.4009209,0.644738766,1,1,1,0,0,0,ENSMUSG00000025047
Afap1l2,-1.564045023,-0.450598694,-1.118961217,-0.305667269,1864.599674,2359.065622,2191.617982,1624.497958,1584.045954,1980.005248,0.243963213,1,1,1,0,0,0,ENSMUSG00000025083
Ablim1,-2.88010816,-0.851701103,-0.831753225,-0.124281516,13133.14007,14594.40329,13654.1279,10658.74655,11832.42868,15470.72301,0.85618051,1,1,1,0,0,0,ENSMUSG00000025085
Alyref,0.527376022,0.762275025,1.05373886,0.074336983,273.0585297,264.7285435,283.6526325,334.6017998,277.0268471,255.4320657,0.954619774,1,1,1,0,0,0,ENSMUSG00000025134
Kazald1,-2.279474324,-0.844972667,-1.616375104,-0.54134463,108.2482028,92.15805953,34.78758701,47.26716875,37.0442877,78.09387997,0.676107847,1,1,1,0,0,0,ENSMUSG00000025213
Nfkb2,3.162263252,0.973231797,1.137517674,0.760739687,432.0176023,507.7728378,450.900647,789.8592672,939.7974727,628.0049514,0.000377474,1,1,1,1,1,0,ENSMUSG00000025225
Adpgk,0.427145668,0.628273166,0.859736684,0.427181002,255.504767,260.2109916,216.7534268,307.2365969,355.9472862,322.9507328,0.159570993,1,1,1,0,0,0,ENSMUSG00000025236
Fyco1,-0.890861284,-0.884917571,-0.731290398,-0.155788743,5106.194505,5187.053135,5010.750514,4822.495085,4158.62395,4759.659289,0.646785139,1,1,1,0,0,0,ENSMUSG00000025241
Zfhx4,0.784816007,-0.999810949,-0.917945998,-0.077485872,532.4641328,549.3343156,623.5005979,548.5479321,545.1952777,520.6258665,0.934408398,1,1,1,0,0,0,ENSMUSG00000025255
Atp10a,-0.691181016,-1.121620169,-0.970733295,-0.029249923,6165.271516,5291.86034,4372.53209,5130.975555,4787.57153,5597.541542,0.978798113,1,1,1,0,0,0,ENSMUSG00000025324
Itga7,0.766615587,-0.487436069,-1.418318769,-0.078801337,664.1173525,905.3174083,639.5564073,695.3249297,701.4255345,697.9640522,0.942258212,1,1,1,0,0,0,ENSMUSG00000025348
Pa2g4,0.301743914,0.779837805,0.578430247,0.042419344,607.5552285,758.9487255,646.2463279,682.8862011,638.6113075,752.4670726,0.970007136,1,1,1,0,0,0,ENSMUSG00000025364
Adam8,3.670033695,3.099588634,3.020770437,2.337219069,15.60334455,9.938614263,17.39379351,77.12011743,94.22134045,43.11432957,1.60E-05,1,0,1,1,1,0,ENSMUSG00000025473
Adgra1,-0.890339571,-0.82644777,-1.899418817,-0.462964486,238.9262134,156.307297,365.2696636,200.2635307,188.4426809,161.0686274,0.436344754,1,1,1,0,0,0,ENSMUSG00000025475
Inpp5a,0.3605444,-0.419217805,-0.982317448,-0.082723152,2108.401933,2827.987513,2024.369967,2512.623181,1874.763082,2192.322985,0.935425538,1,1,1,0,0,0,ENSMUSG00000025477
Ifitm1,3.368925516,1.493124492,1.014949903,1.063480993,84.843186,85.83348682,61.54726933,133.0943962,176.3630219,177.3381858,0.00123783,1,1,1,1,1,0,ENSMUSG00000025491
Eps8l2,-1.986929629,-0.843098996,-1.214494436,-0.105689098,1173.176468,1529.643086,1131.934562,1154.314016,1054.956889,1356.881164,0.909426915,1,1,1,0,0,0,ENSMUSG00000025504
Rplp2,0.401793957,0.771283701,1.031553399,0.374056929,1662.731404,1950.678927,1804.940572,2114.583865,2388.551246,2516.087195,0.048189901,1,1,1,1,1,0,ENSMUSG00000025508
Cd151,-0.954964234,0.542704877,-0.587078636,-0.031522962,1160.498751,1437.485027,887.0834688,1052.316441,1054.956889,1305.632056,0.981976896,1,1,1,0,0,0,ENSMUSG00000025510
Gusb,-1.218095709,0.519963165,0.521990955,0.462047474,445.6705288,522.229004,379.9874889,641.8383967,605.5935728,614.9893048,0.054260938,1,1,1,0,0,0,ENSMUSG00000025534
Tnrc6c,-0.855635606,-0.514492674,-0.563379221,-0.093949088,1743.673754,1760.038235,1592.201098,1685.447728,1508.346758,1585.468459,0.884947939,1,1,1,0,0,0,ENSMUSG00000025571
Tma16,0.884711998,0.750265085,0.906791679,0.232701043,166.7607449,173.4739944,243.5131091,221.4093694,220.655105,239.9759853,0.775329216,1,1,1,0,0,0,ENSMUSG00000025591
