Genes,DT_GBLog2FC,DT_GB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,SHAM-1 DTGB,SHAM-2 DTGB,SHAM-3 GTGB,Double_Therapy-GB-1 Counts,Double_Therapy-GB-2 Counts,Double_Therapy-GB-3 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,GB-Control_Exp,DT-GB_Exp,Regulated_DT-GB,UP-DT_GB,DOWN-DT_GB,GeneID
Nap1l3,-0.699285207,0.015015864,-0.501574245,-0.763490205,-1.618877964,328.8008127,240.6713418,338.1262866,181.5391722,186.4285306,189.8925307,252.7665948,184.1315539,220.5662002,228.9826812,195.2619224,156.5316062,134.9401669,139.0171499,175.1226688,205.4083535,138.2664725,101.3195064,109.0082644,95.8596833,304.6519951,225.5233647,312.9319194,85.21102319,101.7952066,86.49261283,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000055733
Fmnl1,0.835362785,0.002565971,0.636775851,1.371013328,1.057965539,202.6223496,162.707386,230.0784131,377.3353474,284.9862888,394.9764639,176.2409285,113.4459811,158.8947298,110.3860734,214.0823487,216.985192,202.4102504,238.1312291,118.7613501,149.8687558,144.5513122,411.1009858,317.4626647,342.4889656,187.7407253,152.4665001,212.9348775,275.2971518,404.5020051,466.8635351,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000055805
S100a9,1.758350408,0.202048952,4.028646179,2.812419758,3.527274942,9.210106799,5.084605814,1.271151453,13.30653618,24.93630027,16.03536926,64.93086838,99.48339881,323.5938333,185.1931645,1680.89932,4610.665449,2532.627022,2166.350587,63.40648354,450.4878483,227.301701,2607.52155,1624.605625,976.2796872,8.53366933,4.764578127,1.176435787,55.05943037,87.50816003,30.46898861,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,ENSMUSG00000056071
Fez2,-0.030356372,0.951304744,0.393393869,0.498876238,-0.57736966,1128.238083,1361.826924,1136.409399,1132.006042,1333.498343,1089.561143,2411.717968,2617.984179,1900.206837,1991.510729,2968.922242,2670.75306,2791.262342,3287.498157,1500.62011,1654.72738,1715.761227,2494.556123,2297.779468,2093.091531,1045.374493,1276.112842,1051.733594,563.7036918,968.8403432,725.358503,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000056121
Npm3,0.738235677,0.322754007,1.925879421,1.148309037,1.183819967,27.6303204,61.86270407,29.23648343,57.0280122,73.62145793,69.20527786,144.5484808,164.9330033,186.4655048,180.6317565,601.0773636,732.9997283,657.2085907,577.9509289,127.8194192,149.8687558,160.2634113,343.5546482,337.5431345,290.3710795,25.60100799,57.96903388,27.05802311,110.1188607,83.04345799,60.93797722,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000056209
Adgrf5,-0.152780136,0.577966631,0.450161684,-0.613055415,-0.777181329,42004.53408,49168.98565,43670.40818,36003.68504,44438.86196,40854.74501,35487.81151,38740.92988,43468.95457,47324.60791,54434.55412,52340.93053,55292.98284,63384.0972,50816.77398,39508.93035,47323.79517,28574.42999,29457.09292,31963.15498,38919.50571,46074.26459,40416.45147,20288.08915,29237.5478,23648.84951,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000056492
Cebpb,1.453421208,6.17E-05,4.811923062,1.769972275,1.720904539,85.65399323,94.06520755,49.57490668,222.4092476,148.4303587,260.7857422,78.07163936,56.72299055,78.35904482,110.3860734,2042.016249,1852.470595,1752.972724,3431.66409,124.8000628,195.7109634,327.8591356,823.3665636,801.3063645,585.3955417,79.36312477,88.14469536,45.8809957,205.8173945,243.7727315,259.4778385,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000056501
Pign,0.323524813,0.202836109,1.735476351,0.390728679,0.981997679,588.5258244,584.7296686,535.1547619,770.8286316,725.5275935,643.9466708,231.122972,269.6523705,266.2756431,212.5616124,741.0542839,689.8185956,974.5678722,859.8468163,260.671099,270.6453413,239.8713804,342.3900562,337.5431345,332.2515237,545.3014702,547.9264846,495.2794665,1257.190327,800.074606,1085.089143,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000056536
Fry,-0.214102146,0.395136096,-0.902913967,-0.701001049,-0.993278338,10465.44436,11934.41728,11069.18686,9544.588309,10976.72189,8335.860114,4123.110142,4118.961775,5373.398944,6095.86564,2893.640537,3020.520235,2307.726743,2318.239695,7166.945544,6085.553066,7388.876494,4193.695892,4030.437144,4471.90076,9696.80846,11183.25896,10244.40284,4319.543406,6000.559545,5311.432724,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000056602
Gulp1,-0.260824292,0.486696911,-1.468404034,-0.955840366,-1.175310981,423.6649127,641.5077668,517.3586415,468.5801669,427.4794331,425.3592688,663.9954278,813.3204183,871.3816003,1070.106315,302.3030968,404.8231195,331.1031873,195.6537666,875.6133442,579.1986621,673.5253169,306.2877033,268.6958096,521.1788606,392.5487892,601.1309404,478.8093654,200.5736392,258.9527185,191.6597671,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000056870
