Genes,DT_GBLog2FC,DT_GB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,SHAM-1 DTGB,SHAM-2 DTGB,SHAM-3 GTGB,Double_Therapy-GB-1 Counts,Double_Therapy-GB-2 Counts,Double_Therapy-GB-3 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,GB-Control_Exp,DT-GB_Exp,Regulated_DT-GB,UP-DT_GB,DOWN-DT_GB,GeneID
Itgb3,0.415229654,0.20510866,2.054042658,1.237434513,1.669083327,268.0141078,301.6866116,238.9764732,361.1774106,303.9853747,413.5437335,197.1115647,203.3301046,198.0742522,142.3159293,636.3656628,669.3075575,797.1465416,978.2688329,222.4259185,234.5005238,231.4915942,464.6722191,696.1229515,461.6155623,248.3297775,282.6983022,221.169928,909.7915399,634.8806304,854.1145517,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020689
Mettl2,0.305075808,0.68518934,0.808878664,0.548311397,1.127669968,83.81197187,71.18448139,57.2018154,100.7494882,83.12100089,79.33287949,136.045629,160.5696963,123.3429409,156.0001533,234.0790516,243.9734,292.3703617,236.8440332,146.9420095,144.5792703,122.5543734,207.2973809,207.4981875,191.7193666,77.6563909,66.70409378,52.93961043,158.623597,116.9751935,158.2421666,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020691
Nle1,0.592444598,0.468574812,0.975245826,1.292946316,1.82871059,27.6303204,44.06658372,31.77878634,49.42427724,59.37214349,48.10610778,86.57449117,95.99275323,78.35904482,76.63165426,179.9703261,158.6906628,159.9290867,164.7610666,90.58069077,89.92125347,96.36754146,255.0456541,235.22836,188.927337,25.60100799,41.29301044,29.41089468,144.20327,97.33050453,103.201413,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020692
Ftsj3,0.218170538,0.596960417,1.31286373,1.144270363,1.70987055,256.9619797,258.4674622,261.8571994,276.5858592,331.2965607,297.0763147,388.0392372,493.0536871,499.9016841,649.544498,1329.192604,1100.039357,1245.697652,1367.001974,428.748603,506.9090269,527.9265315,1205.352749,1079.564303,952.0820972,238.0893743,242.1993881,242.3457722,845.5555378,937.5874289,580.8765248,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020706
Adap2,0.21952598,0.461318166,0.674709054,-0.648852086,-0.569014143,539.7122584,556.7643366,596.1700317,618.7539324,666.15545,684.4570773,142.2295212,152.7157438,237.2537746,195.228262,316.4184165,260.1663248,248.639752,337.2453082,603.8712718,655.0146209,632.6738591,393.6321054,280.1703637,532.3469791,500.0730227,521.7213049,551.7483842,310.6924999,338.4244148,409.8570403,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000020709
Jpt1,0.246764572,0.703360682,1.06479118,1.169991025,1.388784331,151.0457515,181.3509407,132.1997512,213.8550458,123.4940585,213.5236012,450.651146,599.518377,460.7221617,450.6671096,1058.648977,852.8273717,1025.795158,1166.199425,261.6775511,373.7903086,377.0903796,789.5933948,867.2850509,622.6226032,139.952177,169.9366199,122.3493219,395.9035231,375.927912,364.6449927,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020737
Nup85,0.104456372,0.846989348,-0.42224743,0.322847182,0.838526411,313.1436312,319.482732,287.2802285,369.7316124,314.6723605,305.5159827,703.4177408,791.5038835,688.543829,752.6323186,541.0872549,565.6728389,587.2396153,495.5703956,668.2842075,677.0541438,589.7274548,817.5436035,795.5690875,808.7579105,290.1447572,299.3743257,265.8744879,603.0318564,412.5384687,517.9728064,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020739
Atp2a3,-0.431614433,0.050877347,-1.117567658,-0.764796105,-1.571189835,3344.189779,4311.74573,2893.140708,2708.83058,2644.435271,2471.978766,6873.39621,8406.347199,6418.186208,7477.972261,2434.892647,3937.039778,3905.768165,3167.788945,4601.499091,4360.299213,4924.171874,2537.646028,2102.712047,3530.986781,3098.575334,4040.362252,2677.567852,690.8647572,1244.758929,1365.207264,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000020788
Kif1c,-0.221715446,0.397022731,-0.94808772,-0.316938662,-0.851584506,5056.348632,5701.537986,5945.175348,4045.186999,5333.993371,4944.8015,11150.33067,10698.82868,10614.74839,9287.938953,5867.267886,5553.093671,5127.726343,5092.146715,10462.06978,8717.953682,9870.340687,7508.124803,7777.835285,8032.66919,4684.984462,5342.680274,5502.190177,2119.788069,3717.310921,2764.814999,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000020821
Doc2b,-0.779417651,0.030293275,2.40093536,-0.842585617,-0.950574339,299.328471,243.2136448,246.603382,206.2513108,149.6178016,104.6518836,99.71526215,66.32226587,638.481106,376.7723001,1627.966871,1953.946257,1112.006931,1545.922195,874.606892,543.9354254,1429.801023,472.8243633,612.932434,501.6346534,277.3442532,227.9056538,228.2285427,106.1860443,136.6198825,135.6361428,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000020848
Lrrc59,0.203417208,0.462564568,1.098962341,0.802170446,0.635599715,856.5399323,982.1763563,847.8580194,1001.792081,1053.261826,1040.611068,1610.130938,1865.750058,1614.341433,1860.142179,3569.999606,3143.586464,3748.33797,4425.379273,1289.265165,1295.042366,1597.396747,2598.204814,2563.606639,2129.387916,793.6312477,920.3576749,784.6826701,1371.242004,1313.515341,1200.085003,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020869
Fbxl20,-0.293739262,0.252414175,-0.512589711,-0.646525882,-0.568716168,837.198708,916.0764808,805.9100215,757.5220954,626.9698353,703.024347,752.8888786,888.3692981,673.3073481,555.5794934,496.3887425,558.1161407,454.7983403,502.0063748,897.7552908,878.9361737,841.1210412,492.6224277,542.1726834,635.6520747,775.7105421,858.4181593,745.8602892,502.0895674,530.4066027,572.0306894,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000020883
Kat2a,0.162226158,0.764472841,-0.496913809,0.751152276,0.573276556,209.990435,206.7739698,217.3668985,264.2297899,242.2383454,203.3959996,728.9262962,885.7513139,1111.537562,920.4921327,657.5386424,769.7036912,644.7141308,511.0167456,537.4454319,566.8565293,506.9770659,929.3444382,936.1323758,848.7770016,194.5676607,193.7595105,201.1705196,312.0034387,311.6362026,253.5806149,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020918
Lsm12,0.072218446,0.895497637,0.456420747,0.728826045,0.517677435,446.6901797,513.5451872,391.5146477,506.5988417,416.7924473,498.7843806,281.3670963,336.8472977,368.5777294,446.1057016,445.808847,442.6066106,556.0034655,521.3143123,278.7872372,243.3163329,316.3369296,500.7745719,499.1431054,389.0227924,413.8829625,481.2223909,362.3422225,624.0068775,582.1971463,597.585325,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020922
Strn3,-0.072169679,0.841493571,-0.487819099,-0.418337578,-0.498969274,2719.744538,2954.155978,2816.871621,2473.114796,2847.488002,2757.239546,1980.391486,2262.810992,2015.568764,2721.336008,1484.461121,1516.737288,1705.493776,1696.524108,2061.213941,1710.266978,1912.686203,1302.013887,1483.086123,1465.815546,2519.992553,2768.219892,2606.981705,1777.633038,2046.619416,1761.304116,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000020954
Pole2,0.99704298,0.281153711,-1.004535469,0.944320551,2.428874568,12.89414952,22.88072616,24.15187761,35.16727419,59.37214349,25.31900409,61.06593574,61.08629751,38.4539757,31.01757434,22.34925618,22.67009469,27.48781178,23.16952499,38.24518055,57.30275957,40.85145779,80.35684992,89.88400748,93.06765369,11.94713706,21.44060157,22.35227996,128.4720042,69.64935186,101.2356718,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000020974
Sptb,-1.557837992,0.013157529,1.251283009,-1.186464781,-2.471449923,1860.441573,1240.643819,3458.803105,601.6455287,698.2164075,927.5195166,414.3207792,138.7531615,418.6404524,114.0351998,771.6374766,718.9658602,508.5245179,586.9612998,410.6324648,349.1060429,385.4701658,186.3347244,149.1692039,168.4524532,1723.801205,1162.557063,3201.081777,360.508175,369.6773291,366.6107339,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000021061
Fut8,-0.130945596,0.765115896,-2.253383657,-0.533791889,-1.342789421,2196.610471,2564.336199,2369.426309,1829.648725,2799.990287,1886.265805,3193.980335,3965.37337,1995.253456,2658.388578,630.4842796,686.5800106,554.7540195,604.9820414,1641.523407,1608.885172,1263.252772,975.9281193,977.2495281,1164.276348,2035.280135,2402.935569,2192.876308,718.3944724,1112.603749,780.3992566,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021065
Pygl,0.27754861,0.723503883,0.783006938,0.620610839,0.976630552,69.99681167,100.844682,77.54023866,110.2541569,71.24657219,118.9993192,91.98539687,101.2287216,108.10646,101.2632574,143.5057502,198.6332106,161.1785327,189.2177874,138.8903925,143.6976894,125.6967932,258.5394302,172.1183122,199.1647789,64.85588691,94.49746619,71.76258303,116.6735548,190.196307,147.43059,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000021069
Hif1a,0.421228716,0.038662576,2.474400883,0.472144702,0.559632853,2096.220307,2576.200279,2111.382564,3104.224797,2636.123171,3343.796474,1793.328746,1980.068701,2519.098182,2184.002146,9619.590371,9969.444022,12894.28262,14627.69344,2230.297897,2596.255799,2778.946603,3584.614261,3721.580395,3244.338408,1942.26314,2414.052918,1954.059843,2977.142056,3154.758463,3170.740557,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000021109
Pals1,-0.131834787,0.684826085,0.375219463,-0.471304403,-0.478627704,1474.538098,1740.630057,1432.587688,1359.167624,1446.305415,1438.963399,950.7734298,1058.53827,964.9771261,835.6499441,1142.164619,1034.188129,1398.130063,1369.576366,919.8972374,911.5546676,1023.381391,625.3859189,745.8460195,685.9086077,1366.24046,1631.073912,1325.843132,972.7166031,1154.571948,975.0076355,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021112
Pcnx1,-0.265493888,0.21126044,-0.353396656,-0.463546605,-0.578880347,4465.980787,5070.199431,4890.119641,3674.504919,4446.973548,3882.247294,2306.5918,2561.261189,2824.553347,2672.072801,2245.512108,2066.217202,1684.253194,2116.149949,4139.537568,3415.24447,4486.328044,2920.796806,3330.489341,2480.252971,4137.976258,4751.078489,4525.748474,2666.449556,3446.749977,2865.0678,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021140
Zmynd11,-0.104740425,0.754970908,-0.32439337,-0.362942333,-0.539657969,2040.038656,2103.331938,2247.39577,1778.323514,2125.522737,2039.023796,1450.895714,1541.992682,1551.218869,1751.580669,1230.385367,1210.151245,1328.161087,1258.877524,1541.884647,1452.84535,1471.699954,1113.349979,1142.67435,1215.463557,1890.207757,1970.947152,2079.938472,1166.735548,1643.010352,1273.800298,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021156
Esyt2,-0.080642898,0.846681075,-0.961872455,-0.618247116,-0.989527912,8756.048534,10592.92878,8252.315236,8361.257055,9953.146135,7792.345493,11202.89375,14103.08077,8402.556464,13376.78508,5156.796795,5643.77405,7165.572752,6206.858306,8156.287978,6427.606462,7002.358855,4430.108074,4062.948381,5568.23772,8112.959432,9926.204432,7637.421131,3553.955136,5319.246013,4056.306967,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021171
Rps6ka5,-0.456788878,0.046663682,-0.506308031,-0.516532536,-0.954775044,645.6284866,807.6048901,725.8274799,518.954911,575.9097919,494.5645466,377.9904123,420.6227914,301.1018852,359.4389497,230.5502217,265.5639664,294.8692536,235.5568374,382.4518055,339.4086528,357.1883874,237.5767737,216.1041031,299.6778449,598.21022,756.7738259,671.7448346,205.8173945,407.1808263,429.5144523,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000021180
Lgmn,0.323563373,0.194056462,0.724268711,0.815853712,1.239741625,815.0944517,909.2970063,936.8386212,1255.566735,961.8287246,1109.816346,1714.48412,2263.683654,2470.486552,1733.335037,3524.124817,3065.860425,3306.034089,3623.456269,1696.878274,2787.558858,2428.043055,4088.882609,4085.897489,3995.394373,755.2297357,852.0653884,867.0331752,2245.638196,1809.990208,1788.824493,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000021190
Fcf1,0.271512326,0.592703779,0.660388945,0.491506835,0.723319648,163.939901,157.6227802,169.0631433,182.489639,242.2383454,168.7933606,336.2491398,376.1170604,310.5339924,372.2108921,548.1449148,495.5034982,577.2440474,583.0997123,264.6969075,294.4480261,298.5298839,390.1383293,468.5442943,347.1423482,151.8993141,147.7019219,156.4659597,247.7674366,282.1691691,222.1287557,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000021243
Degs2,-0.457845603,0.220015057,-3.289923067,-0.50010504,-0.88164094,295.6444282,379.6505674,238.9764732,246.1709193,230.3639167,191.5804643,4226.690337,5423.590558,4586.180762,4473.828958,474.0394864,820.4415221,297.3681456,319.2245665,3248.827442,2548.650429,3010.438197,2022.896352,1734.570102,2469.084852,273.9307855,355.7551668,221.169928,110.1188607,219.6633405,130.7217898,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021263
Tnfaip2,1.166303364,0.000908483,3.301060573,1.105176557,1.51096172,112.3633029,126.267711,71.18448139,250.9232537,166.2420018,281.0409454,166.9650901,201.5847818,191.5443318,168.7720957,1292.728029,1586.906628,1974.124664,2332.398849,191.2259027,168.381955,274.4379985,534.5477407,351.8863272,476.5063869,104.1107658,118.3203568,65.88040409,216.304905,272.3468246,337.1246159,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000021281
Kif26a,-0.271432213,0.248688518,-3.162908715,-0.434865911,-0.833492739,1736.105132,1955.87837,1819.01773,1350.613422,1687.356318,1530.111814,3594.387357,3814.402949,3095.907817,2884.634414,344.6490558,537.6051027,274.8781178,335.9581124,3374.633957,3030.875191,2935.020121,2415.363866,2318.81615,2176.85242,1608.596669,1832.774386,1683.479612,630.5615716,1224.2213,1017.271071,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021294
Gpr132,4.979148858,9.25E-08,3.742518112,2.584299548,4.619553714,5.526064079,0,0,79.83921708,32.06095749,70.89321146,0.772986528,3.490645572,2.176640134,6.385971188,24.70180946,55.05594425,42.48116366,43.76465832,2.012904239,7.934228248,7.332312937,39.59612894,31.5550239,33.50435533,5.120201598,0,0,35.39534809,42.86113961,54.05788302,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000021298
Hivep1,-0.334792337,0.089024222,0.594782081,-0.559364483,-0.872915029,3488.788455,3498.2088,3875.740781,2524.440007,3100.413333,2987.642483,1162.571739,793.2492063,1203.681994,948.7728623,1715.011343,1393.671059,1348.152223,1750.586333,1995.794553,1675.885322,2032.098157,1339.280832,1309.055386,1221.978293,3232.553942,3278.029752,3586.952715,1396.149841,2100.195841,2012.918989,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021366
Kif13a,-0.213950042,0.393256855,-0.623678081,-0.421151931,-0.627200786,1380.595009,1516.059967,1334.709026,1158.619115,1274.126199,1217.844097,1079.089194,944.2196273,1197.152074,778.1762034,759.8747102,573.2295372,612.2285351,651.3210914,1359.716814,1232.450121,1255.920459,903.7234135,910.3146289,1058.179222,1279.197033,1420.638378,1235.257577,768.2101475,924.1933228,854.1145517,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021375
Id4,-0.898128961,0.025828452,-0.618934694,-1.203011789,-1.806239116,537.870237,266.0943709,551.6797308,184.3905728,181.6787591,358.6858913,344.7519916,164.0603419,380.1864767,259.0879739,203.4958589,189.9969841,188.6663445,166.0482624,228.4646312,214.2241627,173.8805639,92.00277019,115.7017543,60.4939749,498.3662889,249.3462553,510.5731317,102.2532278,119.6540147,136.6190134,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000021379
Fam217a,-0.53611431,0.431351715,-2.741744381,-0.54068276,-1.183678882,75.52287575,64.40500697,76.26908721,61.78034655,43.93538618,43.04230696,235.7608911,224.273978,235.8026812,258.1756923,31.75946931,55.05594425,33.73504173,20.59513332,193.238807,171.9082787,173.8805639,117.6237948,109.0082644,143.3241867,69.97608851,60.35132295,70.58614724,18.35314346,37.50349716,31.45185921,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021414
Syk,1.680708522,1.00E-06,0.86895299,0.970532063,2.058848686,99.46915343,139.8266599,104.2344192,372.583013,201.8652879,526.6352852,115.1749927,137.8805001,96.49771261,99.43869422,214.0823487,196.474154,186.1674525,222.6848791,118.7613501,178.960926,181.2128769,357.5297525,273.4768738,308.9846102,92.16362876,131.0258985,96.46773456,335.6003375,494.6889863,503.2297474,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000021457
Ptch1,-0.330501301,0.182983523,-0.997532691,-0.54563155,-0.723469663,1552.824006,1649.107152,1596.566225,1021.751885,1388.120715,1406.892661,1173.39355,950.328257,996.1756346,924.1412591,459.9241667,566.7523673,526.0167618,472.4008706,1230.890942,1290.634462,989.8622465,789.5933948,687.5170359,928.8151838,1438.776649,1545.311506,1477.603349,869.1524365,892.9404085,939.6242939,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021466
Habp4,-0.393065416,0.177190899,-0.592274669,-0.307843792,-1.13147385,536.9492264,566.0861139,596.1700317,426.7596246,516.5376484,352.7781237,1300.163341,1338.662577,1226.899489,1247.088945,833.9801385,884.1336929,850.8727192,821.2309413,873.6004399,861.3045553,834.8362015,694.0968485,658.8306506,723.1356691,497.5129219,530.4563648,551.7483842,191.3970675,271.4538842,255.5463561,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021476
Prxl2c,-0.270366758,0.347381039,-1.368278717,-0.563903461,-1.032970402,2118.324564,2674.502658,2227.057346,1571.121736,2187.269766,2064.3428,1507.32373,1517.558163,1409.73726,1706.87887,595.1959804,613.172085,516.0211939,653.8954831,1220.826421,1190.134237,1048.52075,730.1992014,701.8602286,907.4096234,1962.743946,2506.168095,2061.115499,929.4556221,1186.717803,1073.294696,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021482
Ddx41,0.189924422,0.703238935,0.507352876,0.549377553,0.579129686,222.8845845,232.1969988,249.1456849,278.4867929,302.7979318,222.807236,490.8464455,539.3047409,507.1571512,473.4741495,708.1185379,706.0115204,712.1842143,732.4144289,451.8970018,509.5537697,470.3155012,709.2365449,762.1016379,625.4146328,206.5147978,217.5824012,230.5814143,346.087848,324.1373683,307.6384979,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000021494
Nkd2,-0.462814031,0.160887201,-1.08189956,-0.613777047,-1.080241486,320.5117166,464.3939976,315.2455604,279.4372598,261.2374314,259.0978086,391.1311833,397.0609338,617.4402513,632.2111476,284.6589471,200.7922673,257.3858739,220.1104874,584.7486816,679.6988866,545.7335772,362.1881206,296.4259821,523.9708903,296.9716927,435.1648023,291.7560753,141.5813924,172.3374988,170.0366139,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021567
Trip13,1.109465788,0.28056464,-1.804519659,1.541405974,3.672058221,15.65718156,15.25381744,10.16921163,39.91960854,17.81164305,31.22677172,18.55167668,27.05250318,21.76640134,20.98247676,3.528829923,4.318113274,8.74612193,9.01037083,13.08387756,6.171066415,5.237366384,27.95020867,20.08046976,23.26691342,14.50723786,14.29373438,9.411486298,225.4814767,91.07992167,178.8824493,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,ENSMUSG00000021569
Glrx,0.884683344,0.023615812,3.606791758,0.632888076,1.140054825,74.60186507,85.59086453,63.55757267,157.7775004,116.3694012,140.0984893,323.8813554,347.3192344,288.7675911,314.7371514,3179.475761,3628.294679,3628.391155,5089.572323,254.6323863,235.3821047,277.5804183,372.6694489,429.3395676,386.2307628,69.12272157,80.20373181,58.82178937,171.7329852,159.8363331,129.7389192,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000021591
Vcan,0.702981961,0.003387748,1.587627182,2.151684692,2.514329729,672.3377963,581.3399314,695.319845,1367.721826,841.8969947,959.5902552,52.56308392,32.28847154,82.71232509,42.87723512,142.3294736,117.6685867,192.4146825,184.0690041,126.8129671,158.684565,152.9310984,703.4135848,570.8590688,676.6018423,622.9578611,544.7500992,643.5103757,5566.246222,2051.977059,2730.414528,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000021614
Ocln,-0.183236623,0.506261635,-1.185396312,-0.531796172,-0.904871911,7055.862818,8738.742525,7464.201334,6542.063466,7668.506053,6278.269048,9367.05075,12029.6373,10843.2956,13307.45167,5504.97468,6014.052263,3995.728276,4510.334198,8989.630333,7676.80662,7872.809148,5524.82458,5549.859355,5897.697214,6537.644074,8188.721608,6908.030943,2926.015442,5137.979111,3487.22489,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021638
Btf3,0.317285831,0.380448073,0.5442068,0.63063531,0.637534001,244.9888408,247.4508163,213.5534442,283.2391273,279.0490744,318.1754848,2366.111763,2877.164613,2298.531981,2938.459028,3725.268122,3571.079678,3894.523151,4089.421161,1399.974899,1448.437446,1587.969488,2208.066485,2472.766419,2186.159185,226.9956042,231.8761355,197.6412123,350.0206645,385.7502565,286.9982153,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000021660
Polk,0.047478755,0.92198619,-2.202438091,-0.914850178,-0.861083317,2078.721104,2533.828564,2515.608726,2178.470066,2959.107632,2231.448227,2371.522669,2636.310068,2099.732183,2513.335803,571.6704476,588.3429336,402.3216088,526.4630956,2633.885197,1858.372572,1937.825562,1022.5118,1126.418732,1260.136031,1926.049168,2374.3481,2328.166423,1000.246318,1427.811713,1217.776674,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021668
Cert1,-0.075952444,0.848958882,-1.035132692,-0.785239882,-0.846766685,7484.132785,9082.800852,8168.41924,6840.510063,8757.391165,7871.678373,4847.398519,5005.585751,4716.053624,5509.268572,2219.634022,2299.395319,2792.511788,2486.862349,5728.725465,4009.430008,4450.713953,2588.888078,2693.651586,2949.313945,6934.459698,8511.124728,7559.776369,3270.792352,5259.419006,4257.795441,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021669
Scamp1,-0.352850686,0.06556131,-0.396495944,-0.463585594,-0.871224964,2862.501193,3387.194906,2774.923623,2246.903681,2421.196012,2401.085555,3431.287199,3900.796427,3516.72491,4239.372587,2698.378615,2968.702876,3069.888797,2723.706382,2662.065857,2714.387642,2641.727604,1881.980717,1940.155864,1991.647789,2652.264428,3174.003129,2568.159324,1375.17482,1760.878486,1451.699877,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021687
Jmy,-0.201483641,0.402453617,-1.059302565,-0.804360536,-0.773841759,2672.772993,3072.79678,2777.465926,2324.841964,2645.622714,2444.127862,1627.136642,1720.888267,1596.928312,1513.475172,764.5798167,752.4312381,825.8837994,756.8711497,1819.665432,1637.095762,1551.307923,909.5463737,870.1536894,1087.030195,2476.47084,2879.393382,2570.512195,1482.671803,1634.973888,1517.552207,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021690
Serinc5,-0.337223908,0.218842127,-0.601659746,-0.384578016,-0.523837696,1725.974014,1888.083625,1450.383808,1351.563889,1572.17436,1090.40511,2592.596816,3383.308221,2125.851864,2872.774753,1516.22059,1692.700404,2020.354166,2002.876716,1957.549373,1861.017315,1653.960304,1317.153583,1432.406843,1441.617956,1599.209632,1769.246678,1342.313233,1157.558977,1015.273244,1106.712296,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021703
Rasgrf2,-0.793375852,0.000526709,-0.563464529,-0.807888479,-1.830168313,780.0960458,983.8712249,767.7754779,604.4969293,413.2301187,443.0825716,479.2516475,413.6415003,468.7031755,508.1408503,299.9505435,334.6537788,364.8382291,265.1623416,530.4002671,358.803433,403.2772115,231.7538135,190.2863563,315.499346,722.8017923,921.9458676,710.5672155,149.4470253,216.9845193,293.8783095,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000021708
Nr1d2,-0.137771944,0.718079892,-0.621581669,-0.428031662,-0.95684421,1272.83676,1529.618916,1277.507211,1057.869626,1426.118887,1227.971699,3035.518097,3583.14768,3026.255333,4615.232606,1683.251873,2351.212678,2381.444057,2852.425966,2577.523879,2267.426117,2366.242132,1704.962729,1655.204436,1998.162525,1179.353101,1433.34392,1182.317966,583.3677741,634.8806304,736.1700796,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021775
Ogdhl,-0.992986767,0.012674413,1.024753347,-1.37217264,-1.229099745,340.7739516,238.1290389,560.577791,137.8176962,166.2420018,265.849543,366.3956144,161.4423577,294.5719648,184.2808829,656.3623657,450.1633088,401.0721628,543.1966414,390.5034224,344.6981383,383.3752193,153.7261477,163.5123966,115.4038906,315.7457652,223.1410756,518.8081822,175.6658016,114.2963723,161.1907784,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000021913
Gdf10,-1.815117418,0.053619232,-1.224548729,-2.541584982,-3.41431091,50.65558739,14.40638314,52.11720959,4.75233435,17.81164305,10.97156844,41.74127253,21.81653483,42.80725597,27.36844795,9.410213129,25.90867965,12.4944599,9.01037083,30.19356359,31.73691299,26.18683192,5.822960139,4.781064228,4.653382684,46.93518132,13.49963803,48.23386728,1.310938818,2.678821226,5.897223602,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,ENSMUSG00000021943
Hmbox1,-0.171459695,0.494492833,-0.733869014,-0.516008217,-0.588478497,1974.646898,1868.592637,1843.169607,1635.753483,1755.040562,1660.082702,1137.83617,1270.594988,1126.774043,1193.264331,709.2948146,690.8981239,730.9259041,711.8192955,1438.220079,1233.331702,1380.569779,954.9654628,938.0448015,939.9833022,1829.618704,1750.982462,1705.831892,976.6494196,1222.435419,1314.097993,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000021972
