Genes,M_Log2FC,S_Log2FC,GB_log2FC,H-GBM_log2FC,H1,H2,H3,H4,M1,M2,M3,M4,M_AdjP,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,S_AdjP,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GB_AdjP,Mus_GeneID,H-GB-Control-1,H-GB-Control-2,H-GB-Control-3,H-GBM-1,H-GBM-2,H-GBM-3,H-GBM-4,H-GBM-5,H-GBM-6,H-GBM_Padj_Value,MSG_Genes,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,H-Control-GBM,H-GBM,H-GBM-Regulated,HBM-UP,HBM-DOWN
Wdr77,0.497973334,0.700961643,0.731630569,#N/A,253.5395813,308.9221331,343.1835945,395.9302137,448.1614003,384.3120814,497.279504,508.442354,0.017076709,247.5872214,247.7242375,262.9157925,391.3029213,443.6827603,396.4682047,1.70E-05,162.9930842,190.5831251,169.4067534,321.1800105,245.5586123,303.7070155,0.009259382,ENSMUSG00000000561,531.9930688,273.5798574,635.2358014,377.4231792,435.3905314,217.1832291,386.0780734,221.3594745,556.7898177,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Cd52,2.130610247,2.17090069,4.675852285,#N/A,72.66073366,123.9179178,38.4539757,88.49131504,248.1943713,403.7435912,359.8404451,400.317904,7.53E-12,39.25163267,82.86860614,93.22512163,401.7842496,265.8271711,303.400551,1.69E-10,1.706733866,3.970481773,8.235050511,108.8079219,108.9387298,116.9616014,6.94E-17,ENSMUSG00000000682,29.93064452,149.9067712,137.7318098,19.47024337,152.2344515,184.9130795,16.23151059,30.2912965,0,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0
Polr3d,1.648559777,0.859345352,0.735576741,#N/A,158.4622383,175.40494,216.21292,198.8773884,571.6704476,489.0263283,600.9835212,688.6497706,5.03E-23,172.1033125,215.1057436,174.9280372,393.6321054,346.1490501,282.9256672,0.000163773,151.8993141,171.5248126,185.8768544,300.2049894,266.0962417,281.1009917,0.006769485,ENSMUSG00000000776,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Tcf7,-2.554024744,-0.49508036,-0.602002966,#N/A,1872.946358,2229.649859,2136.735065,2634.669256,431.6935273,431.8113274,308.6131595,337.2453082,1.24E-54,1618.375008,1264.187034,1411.993977,903.7234135,1102.513411,1038.635015,0.007492065,571.7558451,631.3066019,530.5725401,300.2049894,463.436072,376.4394399,0.025404132,ENSMUSG00000000782,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Usp32,-0.36801886,-0.464439757,-0.659085245,#N/A,977.8279583,814.1930797,1028.09969,943.2991727,755.1696036,629.3650097,738.4225801,795.4870247,0.019992581,1041.677944,992.6601119,1001.384453,751.1618579,665.5241405,783.629644,0.001317105,1687.959793,1647.749936,1843.474879,1042.196361,1074.207311,1161.75305,0.000226119,ENSMUSG00000000804,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Car4,-1.239818366,-0.588799817,-1.214224425,#N/A,10737.55586,15730.59427,6894.870398,15528.85737,5205.024137,5417.073103,4846.600995,5232.45106,3.21E-07,5865.602954,5888.960522,4663.351028,3723.200713,3305.627807,3888.366571,0.000370479,3526.112167,3336.792882,3872.826612,1542.974989,1770.70083,1312.132251,8.94E-12,ENSMUSG00000000805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Dlg3,0.562455743,-0.51095344,-0.701011359,#N/A,342.433032,279.2516458,436.7791202,340.2810362,498.7412958,494.4239699,595.9857372,478.8368498,0.003320901,377.4195449,439.0272964,398.0398452,294.641783,238.0969985,320.1527287,0.021071114,645.9987683,628.1302165,839.9751521,532.2411602,340.2102956,429.5144523,0.008567751,ENSMUSG00000000881,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Mmp14,1.071286412,0.64106355,2.121615462,4.622203887,320.0164227,371.7537534,290.9442312,288.2809851,674.0065154,519.2531212,610.9790891,867.5699913,2.37E-08,425.7292466,583.6065667,711.2343549,894.4066773,926.5702473,861.8064731,0.009343031,512.0201598,628.1302165,529.3961043,2439.657141,2344.861513,2486.662619,1.39E-37,ENSMUSG00000000957,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.13E-05,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
Ilf2,0.519230801,0.541956957,0.576160549,#N/A,1096.094897,1343.898545,1149.265991,1346.527639,1791.469324,1729.404366,1737.979372,1812.371733,2.53E-05,939.0198277,1102.857726,1088.324735,1615.289143,1484.042336,1460.231486,0.000133627,339.6400393,380.3721538,342.3428141,610.8974893,477.7231185,498.3153944,0.019547339,ENSMUSG00000001016,2170.45448,1662.091325,3640.293469,4000.386157,3554.166995,1980.260291,2875.296162,2335.92498,3366.550355,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
S100a6,0.730117042,1.034144437,1.460139092,#N/A,717.3314983,821.1743709,784.3159949,900.4219375,1039.828551,1283.559171,1944.13796,1078.670108,0.001522573,732.6971432,722.8963515,1172.122597,1847.042956,1673.37248,1858.561044,9.15E-06,121.1781045,138.966862,119.9964503,410.3238501,342.8891169,295.8440507,6.72E-09,ENSMUSG00000001025,1815.148765,2900.227563,6484.246656,333.9895594,2450.97467,5747.159977,979.1079068,532.4277885,1751.491148,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Icam2,-0.523855581,0.732961021,-0.584729663,#N/A,5803.582854,7306.793844,4717.504717,7024.568307,4409.861128,4617.142619,3875.781461,4380.327419,0.003557647,2716.414271,2583.913666,2695.148741,4333.446935,4966.56952,3987.94896,4.66E-08,552.1284057,750.4210551,543.5133337,340.8440927,473.2584165,415.7542639,0.034905757,ENSMUSG00000001029,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
Lgals9,2.95267623,0.557451588,0.736809426,#N/A,4849.717479,6040.562163,4750.879866,5776.567081,44289.16809,35725.91018,39261.34134,46524.40618,1.02E-105,2095.433313,1929.780626,2252.067545,2722.816161,3968.283309,2545.400328,0.024575028,532.5009662,616.2187711,449.3984708,911.1024787,937.5874289,818.7312101,0.000660408,ENSMUSG00000001123,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Timp1,3.71331771,3.411594447,3.909089554,3.928708848,21.64362279,17.45322786,96.49771261,16.42106877,566.965341,474.9924602,468.5422462,490.4216123,3.68E-08,58.37422294,113.7239382,155.026045,1009.701288,1542.37132,926.9538307,7.82E-24,12.800504,19.05831251,17.64653681,403.769156,114.2963723,227.0431087,2.36E-18,ENSMUSG00000001131,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.000164174,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
Ramp2,-2.733237164,0.372974946,-1.092112864,#N/A,12658.42739,15196.5255,16386.47248,17742.96481,2161.996466,3373.525996,1840.433943,1943.665708,2.42E-41,8231.771887,6402.922196,7144.815221,8749.579905,9845.167457,9607.37389,0.033611512,3406.640797,4110.242731,2890.502729,1352.88886,1914.464236,1612.890655,1.19E-07,ENSMUSG00000001240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
Lsr,-1.018924122,-0.285293744,-0.671705211,#N/A,2989.138905,3778.623832,4728.387918,4451.9342,1832.639007,2554.164002,1707.992668,1773.755858,2.57E-07,3295.12424,3029.112029,3458.75676,2799.679235,2596.117876,2631.953246,0.046082507,673.3065101,824.272016,575.2771,323.8018881,558.9806957,416.7371345,0.022714079,ENSMUSG00000001247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Snd1,0.666662847,0.761719518,0.773176422,#N/A,1599.309127,1786.337872,1460.52553,1549.966436,2506.645522,2407.34815,2566.362063,2672.218549,2.13E-09,1284.232905,1532.187633,1445.513122,2569.090013,2378.101347,2282.018868,9.17E-09,1007.826348,1195.115014,1010.558341,2115.855253,1571.575119,1809.464775,0.000111891,ENSMUSG00000001424,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Tubb6,4.410593183,2.892379206,2.72081222,#N/A,100.4882487,119.5546108,236.5282279,251.7897211,3852.306,2721.490891,2547.620374,5942.98316,1.36E-22,226.4517269,181.6056688,842.1685145,3671.958664,3968.283309,1640.782734,0.002705056,56.32221758,43.6752995,49.41030307,327.7347046,433.0760981,223.1116263,2.49E-18,ENSMUSG00000001473,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Fkbp10,-0.611238801,1.026232036,1.302147562,3.772298133,346.2979647,484.3270731,568.103075,345.7547258,249.3706479,290.3931177,321.1076194,281.8958874,0.008287193,459.9486187,609.1724132,504.8821194,1078.412218,1051.83413,1078.654106,4.89E-11,207.3681647,218.3764975,165.877446,620.074061,420.5749324,424.6000993,3.02E-07,ENSMUSG00000001555,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.006604697,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
Ifrd1,3.199068966,0.682117763,0.695926033,#N/A,599.837546,484.3270731,700.1525764,838.3867889,5727.290966,4463.849597,5612.511387,8281.817988,1.65E-49,962.1682264,871.0019454,1593.206854,2025.225536,2015.696678,1455.578104,0.040503672,481.2989502,454.2231148,383.5180667,669.8897361,853.6510305,614.2941252,0.003840494,ENSMUSG00000001627,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Eef1e1,1.78531874,1.702229361,1.03145397,#N/A,154.5973057,157.9517121,159.6202765,185.1931645,568.1416177,439.3680257,617.226319,641.0235247,3.87E-27,81.5226217,108.4344527,91.13017508,333.0733199,321.2875161,263.3814599,3.29E-15,67.41598771,73.85096097,45.8809957,142.8923312,138.4057633,104.1842836,0.009491154,ENSMUSG00000001707,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Rin2,0.367495383,-0.694995479,-0.73037739,#N/A,2247.071838,2343.968502,1921.247692,2276.142588,2514.879459,2643.764852,3343.517469,2835.69242,0.020058453,2064.233298,2033.807174,2268.827117,1234.467549,1234.470784,1462.092839,5.93E-07,2206.806889,2649.105439,2202.287794,1190.332447,1518.891635,1543.106842,0.000233099,ENSMUSG00000001768,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Rtcb,0.338015255,0.267137607,0.530822793,#N/A,2725.550499,3358.873702,2484.27194,3184.77506,3579.409819,3664.998642,3843.295865,3766.335007,0.02712204,1890.117081,1977.385996,2058.284989,2425.845194,2381.926198,2323.899313,0.036748204,811.5519533,929.8868312,845.8573311,1347.645105,1267.08244,1125.386837,0.009518598,ENSMUSG00000001783,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Pwp1,0.358766153,0.701509489,0.62734577,#N/A,486.9815128,613.4809593,465.8009887,507.2285687,675.182792,591.5815186,717.1819982,674.4906164,0.033915322,371.3808322,403.7640597,415.8468909,727.8700173,633.0129037,577.9501294,3.11E-05,173.2334874,181.0539688,176.4653681,293.6502953,249.130374,278.1523799,0.025819154,ENSMUSG00000001785,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Uba1,0.838942176,0.429779918,-0.432137509,#N/A,5673.721118,7229.999641,6026.390984,6481.760756,10786.4568,10444.43648,11643.58718,12579.76487,1.83E-11,4458.58289,4693.536799,4939.883973,6426.218809,6573.963313,5982.388779,0.000234397,2058.321042,2603.841947,2058.762628,1679.312626,1667.119743,1636.47955,0.044867541,ENSMUSG00000001924,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0
Ssr4,0.303995253,1.016424138,0.836114346,#N/A,1242.962338,1438.145976,1139.108337,1364.773271,1646.787298,1612.815308,1560.558041,1578.102091,0.026719672,784.0262013,963.5679416,897.6845982,1746.888042,1864.615049,1741.2958,2.50E-14,148.4858463,138.1727657,127.055065,291.0284177,245.5586123,204.4370849,0.004891395,ENSMUSG00000002014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Fam98a,0.536711585,0.416385455,0.712164471,#N/A,385.7202776,431.0947282,444.0345873,544.6321142,669.3014088,585.1043487,704.6875383,659.0442664,0.001019152,390.5034224,415.2246116,394.8974253,607.9170385,528.7857036,468.130298,0.039611985,157.8728826,181.0539688,168.2303176,331.667521,286.6338711,214.2657909,0.021441028,ENSMUSG00000002017,355.3057156,462.3686973,176.1297688,760.8372025,311.5731775,324.2381698,555.9292378,575.5346336,320.7994314,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Spi1,1.699303879,1.357357008,2.586984114,#N/A,129.8617368,143.9891299,121.1663008,93.05272303,376.4085252,401.5845345,366.0876751,442.7953665,3.97E-23,79.50971746,178.0793451,201.1148691,458.8492589,299.2946206,417.8737651,0.000403184,24.74764106,17.4701198,31.76376626,102.2532278,154.4786907,180.8481905,9.99E-11,ENSMUSG00000002111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Napsa,1.787720485,1.03320656,2.769010593,#N/A,71.1147606,90.75678488,334.4770339,77.54393586,486.9785294,603.4563301,443.5533264,449.2313457,0.007293179,93.60004713,115.4871,119.4119535,250.387286,191.2425691,231.7384577,9.93E-06,5.973568531,5.558674482,4.705743149,27.52971518,39.28937797,44.22917701,0.000174459,ENSMUSG00000002204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Rmnd5a,-0.689685808,-0.641155269,-0.819222568,#N/A,2851.547303,3184.341423,2899.284658,3657.336928,1858.517093,1939.912388,2234.00943,1773.755858,8.18E-07,3029.42088,2570.689952,2860.649519,1674.683336,1659.9855,2088.438149,0.000100176,2399.667816,2739.632423,2029.351733,1199.509019,1497.461065,1365.207264,3.24E-05,ENSMUSG00000002222,1254.190556,1553.877375,974.1395272,1470.75223,752.0381906,811.3637614,1041.715162,1006.603084,401.9211267,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Ppm1j,1.646721501,2.336909551,1.85044398,#N/A,28.60050155,43.63306965,28.29632174,38.31582713,121.156494,91.75990708,86.21177331,133.8683666,1.96E-09,28.18065935,28.21058933,42.94640435,229.4246295,186.4615049,85.62224139,9.54E-08,8.53366933,13.49963803,11.76435787,22.28595991,64.29170941,34.40047101,0.013390706,ENSMUSG00000002228,58.89578438,5.621503919,56.76220039,10.4839772,63.93846965,3.585572178,20.86908505,4.660199462,99.55844423,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Ipo4,0.858586023,1.42476478,0.941588718,#N/A,333.9301802,340.3379433,359.1456221,345.7547258,686.9455584,603.4563301,569.7473714,641.0235247,2.98E-12,287.8453062,269.7637604,328.9066089,924.68607,829.9927499,625.4146328,2.20E-12,86.19006023,104.0266224,69.40971145,214.9939662,163.4080948,123.8416956,0.013992988,ENSMUSG00000002319,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Snrpd1,0.615867914,1.126035566,1.116448295,#N/A,679.4551584,811.5750955,749.4897528,874.8780528,1124.520469,1135.663791,1185.724244,1327.098904,5.83E-06,400.5679436,423.1588399,427.3690969,959.6238309,983.943018,788.2830267,1.56E-13,194.5676607,206.4650522,175.2889323,496.8458121,448.2560851,307.6384979,2.51E-05,ENSMUSG00000002477,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Lcp2,3.100916787,1.538787718,3.246941928,#N/A,68.79580102,74.17621841,75.45685798,65.68427508,541.0872549,473.9129319,633.4691169,792.912633,2.36E-56,62.40003142,96.97390081,101.6049078,289.9834149,235.22836,234.5304873,2.65E-09,43.52171358,35.73433596,57.64535358,429.9879324,420.5749324,432.4630641,4.93E-36,ENSMUSG00000002699,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Ggct,1.911203759,0.689265299,2.547241072,#N/A,95.07734298,103.8467058,142.2071554,104.9123838,392.8763981,417.7774593,432.3083125,438.933779,2.80E-30,85.54843018,99.61864355,90.0827018,139.7510433,174.9869507,129.3640386,0.015441854,60.58905224,46.85168492,70.58614724,470.6270358,230.3786254,336.1417453,1.08E-15,ENSMUSG00000002797,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Epdr1,-0.56034672,-0.560763728,-1.695396357,#N/A,313.059544,308.9221331,311.2595392,292.8423931,216.434902,209.4284938,212.4058183,193.0793749,9.00E-05,217.3936579,256.5400467,208.4471821,160.7136998,157.7751195,145.1855398,0.01422981,197.1277615,159.6133673,195.2883407,58.99224682,41.07525879,70.76668322,3.62E-07,ENSMUSG00000002808,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Mcm2,-1.320376592,0.665898927,1.744318358,#N/A,439.0563481,513.9975605,333.7514872,375.8600185,149.3871334,216.985192,151.1829648,146.7403249,2.44E-10,324.0775825,339.4086528,271.2955787,476.3181394,523.0484265,484.8824757,0.000128653,161.2863503,196.9358959,148.2309092,625.3178163,550.944232,526.8186418,1.58E-15,ENSMUSG00000002870,57.93027972,51.06199393,0,137.7894146,383.6308179,1.536673791,63.76664875,38.44664556,0,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Il17ra,2.650568579,0.953066644,1.40637679,#N/A,299.1457865,333.3566521,625.4212652,312.9125882,2578.398397,2535.81202,2181.532698,2576.966057,3.99E-31,530.4002671,990.0153691,867.3078731,1441.76493,2011.871827,1169.860407,0.003701944,157.8728826,150.084211,155.2895239,423.4332383,382.1784948,422.6343581,1.97E-10,ENSMUSG00000002897,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Lamb1,-0.420082874,0.916668093,1.297912376,6.464018198,426.6885636,584.6831333,465.8009887,490.8074999,431.6935273,304.4269858,347.3459852,387.4459457,0.037509649,480.0776611,939.7652569,785.6049575,1455.740035,1300.44947,1409.044277,0.000912997,674.1598771,870.3296046,670.5683988,2547.154124,1351.911778,1553.918419,3.04E-07,ENSMUSG00000002900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.80E-11,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
Relb,3.23589526,0.835355672,0.940053578,#N/A,450.651146,569.8478897,194.4465186,323.8599674,3497.070454,3026.997405,3742.09074,4224.576723,1.13E-33,432.7744115,457.5404956,649.4334316,1083.070586,951.4317813,712.8982272,0.001679718,87.8967941,123.8790313,104.7027851,114.0516772,266.9891821,224.0944969,0.022239573,ENSMUSG00000002983,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
