Genes,LB-Log2FC,LB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,H-Control-1 Counts,H-Control-2 Counts,H-Control-3 Counts,H-Lung_Brain-1 Counts,H-Lung_Brain-2 Counts,H-Lung_Brain-3 Counts,H-Lung_Brain-4 Counts,H-Lung_Brain-5 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,Control-H.Brain,H-Lung-Brain,H-LB-Regulated,HLB-UP,HLB-DOWN,MusGeneID,Homo_ID
Wdr77,-0.642792573,0.775075272,0.497973334,0.700961643,0.731630569,817.9347259,408.8657659,1032.307255,323.445273,485.9919412,770.4012576,569.3929197,260.4991331,253.5395813,308.9221331,343.1835945,395.9302137,448.1614003,384.3120814,497.279504,508.442354,247.5872214,247.7242375,262.9157925,391.3029213,443.6827603,396.4682047,162.9930842,190.5831251,169.4067534,321.1800105,245.5586123,303.7070155,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000561,ENSG00000116455
Cd52,-0.057739836,0.988994907,2.130610247,2.17090069,4.675852285,46.01810617,224.0360361,223.824832,312.4343701,305.5234392,97.67718519,22.60712131,53.39423225,72.66073366,123.9179178,38.4539757,88.49131504,248.1943713,403.7435912,359.8404451,400.317904,39.25163267,82.86860614,93.22512163,401.7842496,265.8271711,303.400551,1.706733866,3.970481773,8.235050511,108.8079219,108.9387298,116.9616014,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,ENSMUSG00000000682,ENSG00000169442
Polr3d,0.589192127,0.786447863,1.648559777,0.859345352,0.735576741,262.7485417,137.9221847,109.8776448,217.4653325,371.4206515,223.9965525,266.6873971,199.0148656,158.4622383,175.40494,216.21292,198.8773884,571.6704476,489.0263283,600.9835212,688.6497706,172.1033125,215.1057436,174.9280372,393.6321054,346.1490501,282.9256672,151.8993141,171.5248126,185.8768544,300.2049894,266.0962417,281.1009917,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000776,ENSG00000168495
Tcf7,0.912081096,0.769519826,-2.554024744,-0.49508036,-0.602002966,75.70720693,242.9390767,5.426056532,211.959881,69.64137216,218.855648,240.2485603,278.2972105,1872.946358,2229.649859,2136.735065,2634.669256,431.6935273,431.8113274,308.6131595,337.2453082,1618.375008,1264.187034,1411.993977,903.7234135,1102.513411,1038.635015,571.7558451,631.3066019,530.5725401,300.2049894,463.436072,376.4394399,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,ENSMUSG00000000782,ENSG00000081059
Usp32,0.315399261,0.898176239,-0.36801886,-0.464439757,-0.659085245,102.4273976,147.7237613,118.0167296,122.4962949,177.4731742,182.1349017,118.7831797,163.4187108,977.8279583,814.1930797,1028.09969,943.2991727,755.1696036,629.3650097,738.4225801,795.4870247,1041.677944,992.6601119,1001.384453,751.1618579,665.5241405,783.629644,1687.959793,1647.749936,1843.474879,1042.196361,1074.207311,1161.75305,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000804,ENSG00000170832
Car4,#N/A,#N/A,-1.239818366,-0.588799817,-1.214224425,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10737.55586,15730.59427,6894.870398,15528.85737,5205.024137,5417.073103,4846.600995,5232.45106,5865.602954,5888.960522,4663.351028,3723.200713,3305.627807,3888.366571,3526.112167,3336.792882,3872.826612,1542.974989,1770.70083,1312.132251,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000000805,#N/A
Dlg3,6.61449401,0.002315021,0.562455743,-0.51095344,-0.701011359,8.906730227,0,1.356514133,572.5669514,73.38553196,23.50127764,12.26148952,936.8260749,342.433032,279.2516458,436.7791202,340.2810362,498.7412958,494.4239699,595.9857372,478.8368498,377.4195449,439.0272964,398.0398452,294.641783,238.0969985,320.1527287,645.9987683,628.1302165,839.9751521,532.2411602,340.2102956,429.5144523,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,ENSMUSG00000000881,ENSG00000082458
Mmp14,4.61780635,5.49056E-06,1.071286412,0.64106355,2.121615462,19.29791549,13.30213964,5.426056532,265.6380327,408.1134175,293.0315556,183.5391713,404.5017594,320.0164227,371.7537534,290.9442312,288.2809851,674.0065154,519.2531212,610.9790891,867.5699913,425.7292466,583.6065667,711.2343549,894.4066773,926.5702473,861.8064731,512.0201598,628.1302165,529.3961043,2439.657141,2344.861513,2486.662619,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,ENSMUSG00000000957,ENSG00000157227
Ilf2,-0.043126401,0.988122124,0.519230801,0.541956957,0.576160549,3337.054925,2483.99955,5915.758134,2774.747533,3539.728669,3564.115637,2835.469452,6271.395278,1096.094897,1343.898545,1149.265991,1346.527639,1791.469324,1729.404366,1737.979372,1812.371733,939.0198277,1102.857726,1088.324735,1615.289143,1484.042336,1460.231486,339.6400393,380.3721538,342.3428141,610.8974893,477.7231185,498.3153944,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001016,ENSG00000143621
S100a6,2.737660912,0.201262151,0.730117042,1.034144437,1.460139092,2790.775471,4334.397186,10537.40179,17256.83759,14257.01166,8210.758875,2871.104406,153749.5008,717.3314983,821.1743709,784.3159949,900.4219375,1039.828551,1283.559171,1944.13796,1078.670108,732.6971432,722.8963515,1172.122597,1847.042956,1673.37248,1858.561044,121.1781045,138.966862,119.9964503,410.3238501,342.8891169,295.8440507,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001025,ENSG00000197956
Icam2,-1.770607156,0.410307708,-0.523855581,0.732961021,-0.584729663,7208.513664,5852.241331,20732.96201,4100.184971,4317.765074,4057.642467,3945.134254,85.754373,5803.582854,7306.793844,4717.504717,7024.568307,4409.861128,4617.142619,3875.781461,4380.327419,2716.414271,2583.913666,2695.148741,4333.446935,4966.56952,3987.94896,552.1284057,750.4210551,543.5133337,340.8440927,473.2584165,415.7542639,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000001029,ENSG00000108622
Lgals9,0.220778887,0.938963423,2.95267623,0.557451588,0.736809426,727.3829686,674.2084462,321.4938495,565.685137,868.6450721,879.8290816,482.4129784,550.1223928,4849.717479,6040.562163,4750.879866,5776.567081,44289.16809,35725.91018,39261.34134,46524.40618,2095.433313,1929.780626,2252.067545,2722.816161,3968.283309,2545.400328,532.5009662,616.2187711,449.3984708,911.1024787,937.5874289,818.7312101,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001123,ENSG00000168961
Timp1,4.092924093,1.02575E-05,3.71331771,3.411594447,3.909089554,1891.195718,1880.502478,1840.789679,40043.90116,18340.39233,53789.28361,20306.55934,27143.68607,21.64362279,17.45322786,96.49771261,16.42106877,566.965341,474.9924602,468.5422462,490.4216123,58.37422294,113.7239382,155.026045,1009.701288,1542.37132,926.9538307,12.800504,19.05831251,17.64653681,403.769156,114.2963723,227.0431087,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001131,ENSG00000102265
Ramp2,-0.584648758,0.891533856,-2.733237164,0.372974946,-1.092112864,11323.42303,20840.25215,14369.55421,11878.01151,10888.76551,11772.67127,17119.3384,55.01223928,12658.42739,15196.5255,16386.47248,17742.96481,2161.996466,3373.525996,1840.433943,1943.665708,8231.771887,6402.922196,7144.815221,8749.579905,9845.167457,9607.37389,3406.640797,4110.242731,2890.502729,1352.88886,1914.464236,1612.890655,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000001240,ENSG00000131477
Lsr,-0.894503903,0.729900327,-1.018924122,-0.285293744,-0.671705211,1448.828117,15277.15732,7140.690396,4496.577476,2832.082468,2425.038086,9056.642698,2587.193253,2989.138905,3778.623832,4728.387918,4451.9342,1832.639007,2554.164002,1707.992668,1773.755858,3295.12424,3029.112029,3458.75676,2799.679235,2596.117876,2631.953246,673.3065101,824.272016,575.2771,323.8018881,558.9806957,416.7371345,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000001247,ENSG00000105699
Snd1,0.565451156,0.849468977,0.666662847,0.761719518,0.773176422,2189.571181,1428.22973,256.3811712,1904.886204,1442.999184,1585.601826,1158.71076,3464.153068,1599.309127,1786.337872,1460.52553,1549.966436,2506.645522,2407.34815,2566.362063,2672.218549,1284.232905,1532.187633,1445.513122,2569.090013,2378.101347,2282.018868,1007.826348,1195.115014,1010.558341,2115.855253,1571.575119,1809.464775,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001424,ENSG00000197157
Tubb6,0.985923223,0.762093647,4.410593183,2.892379206,2.72081222,3286.583454,1160.086599,2514.977203,2816.038419,9846.391425,6389.409858,3838.995735,87.37238004,100.4882487,119.5546108,236.5282279,251.7897211,3852.306,2721.490891,2547.620374,5942.98316,226.4517269,181.6056688,842.1685145,3671.958664,3968.283309,1640.782734,56.32221758,43.6752995,49.41030307,327.7347046,433.0760981,223.1116263,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001473,ENSG00000176014
Fkbp10,2.685606387,0.030849498,-0.611238801,1.026232036,1.302147562,285.0153673,66.51069822,63.75616425,732.2250436,963.7467309,998.0698848,741.4369446,1009.636392,346.2979647,484.3270731,568.103075,345.7547258,249.3706479,290.3931177,321.1076194,281.8958874,459.9486187,609.1724132,504.8821194,1078.412218,1051.83413,1078.654106,207.3681647,218.3764975,165.877446,620.074061,420.5749324,424.6000993,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001555,ENSG00000141756
Ifrd1,0.678161405,0.857784781,3.199068966,0.682117763,0.695926033,328.0645634,554.4891894,176.3468373,145.8944636,251.6075381,149.08623,194.2679746,2085.611072,599.837546,484.3270731,700.1525764,838.3867889,5727.290966,4463.849597,5612.511387,8281.817988,962.1682264,871.0019454,1593.206854,2025.225536,2015.696678,1455.578104,481.2989502,454.2231148,383.5180667,669.8897361,853.6510305,614.2941252,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001627,ENSG00000006652
Eef1e1,-0.846952295,0.672011924,1.78531874,1.702229361,1.03145397,353.300299,525.7845722,1459.609207,312.4343701,635.009501,349.5815049,471.3010035,398.0297313,154.5973057,157.9517121,159.6202765,185.1931645,568.1416177,439.3680257,617.226319,641.0235247,81.5226217,108.4344527,91.13017508,333.0733199,321.2875161,263.3814599,67.41598771,73.85096097,45.8809957,142.8923312,138.4057633,104.1842836,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001707,ENSG00000124802
Rin2,0.190342861,0.964393394,0.367495383,-0.694995479,-0.73037739,4382.111272,2645.725564,549.3882239,3355.572662,3670.774262,2458.086758,4667.029449,257.263119,2247.071838,2343.968502,1921.247692,2276.142588,2514.879459,2643.764852,3343.517469,2835.69242,2064.233298,2033.807174,2268.827117,1234.467549,1234.470784,1462.092839,2206.806889,2649.105439,2202.287794,1190.332447,1518.891635,1543.106842,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000001768,ENSG00000132669
Rtcb,-0.820081346,0.590846406,0.338015255,0.267137607,0.530822793,2867.967133,3454.355632,3490.310864,1420.406475,1471.454799,2469.102982,2151.125068,1750.683615,2725.550499,3358.873702,2484.27194,3184.77506,3579.409819,3664.998642,3843.295865,3766.335007,1890.117081,1977.385996,2058.284989,2425.845194,2381.926198,2323.899313,811.5519533,929.8868312,845.8573311,1347.645105,1267.08244,1125.386837,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001783,ENSG00000100220
Pwp1,-0.873550392,0.623413471,0.358766153,0.701509489,0.62734577,2011.436576,1771.28491,4077.681484,1169.908434,1768.741087,1712.655608,1754.925688,742.6652303,486.9815128,613.4809593,465.8009887,507.2285687,675.182792,591.5815186,717.1819982,674.4906164,371.3808322,403.7640597,415.8468909,727.8700173,633.0129037,577.9501294,173.2334874,181.0539688,176.4653681,293.6502953,249.130374,278.1523799,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001785,ENSG00000136045
Uba1,1.351874578,0.545897247,0.838942176,0.429779918,-0.432137509,4922.452906,2576.414415,713.526434,4206.164912,3276.139819,4089.222309,2904.057159,20461.317,5673.721118,7229.999641,6026.390984,6481.760756,10786.4568,10444.43648,11643.58718,12579.76487,4458.58289,4693.536799,4939.883973,6426.218809,6573.963313,5982.388779,2058.321042,2603.841947,2058.762628,1679.312626,1667.119743,1636.47955,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000001924,ENSG00000130985
Ssr4,0.683982017,0.811056355,0.303995253,1.016424138,0.836114346,2363.25242,3534.16847,17473.25855,13693.43413,7289.879118,9542.987552,9415.291267,22635.91846,1242.962338,1438.145976,1139.108337,1364.773271,1646.787298,1612.815308,1560.558041,1578.102091,784.0262013,963.5679416,897.6845982,1746.888042,1864.615049,1741.2958,148.4858463,138.1727657,127.055065,291.0284177,245.5586123,204.4370849,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002014,ENSG00000180879
Fam98a,0.324892485,0.900395616,0.536711585,0.416385455,0.712164471,546.2794539,691.0111489,286.2244821,608.3523858,731.6088237,580.9222067,818.0712541,441.7159213,385.7202776,431.0947282,444.0345873,544.6321142,669.3014088,585.1043487,704.6875383,659.0442664,390.5034224,415.2246116,394.8974253,607.9170385,528.7857036,468.130298,157.8728826,181.0539688,168.2303176,331.667521,286.6338711,214.2657909,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002017,ENSG00000119812
Spi1,4.562537135,NA,1.699303879,1.357357008,2.586984114,0,0,0,0,14.97663917,3.672074631,2.299029285,3.236014076,129.8617368,143.9891299,121.1663008,93.05272303,376.4085252,401.5845345,366.0876751,442.7953665,79.50971746,178.0793451,201.1148691,458.8492589,299.2946206,417.8737651,24.74764106,17.4701198,31.76376626,102.2532278,154.4786907,180.8481905,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000002111,ENSG00000066336
Napsa,6.77502638,0.039292311,1.787720485,1.03320656,2.769010593,0,0,0,12.38726577,78.62735567,16.8915433,0,4.854021113,71.1147606,90.75678488,334.4770339,77.54393586,486.9785294,603.4563301,443.5533264,449.2313457,93.60004713,115.4871,119.4119535,250.387286,191.2425691,231.7384577,5.973568531,5.558674482,4.705743149,27.52971518,39.28937797,44.22917701,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,ENSMUSG00000002204,ENSG00000131400
Rmnd5a,-0.882045571,0.640518523,-0.689685808,-0.641155269,-0.819222568,1928.307094,2322.273537,1583.051993,1160.273894,1105.275971,1271.272237,1431.912073,305.8033301,2851.547303,3184.341423,2899.284658,3657.336928,1858.517093,1939.912388,2234.00943,1773.755858,3029.42088,2570.689952,2860.649519,1674.683336,1659.9855,2088.438149,2399.667816,2739.632423,2029.351733,1199.509019,1497.461065,1365.207264,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000002222,ENSG00000153561
Ppm1j,-1.324288848,0.720466395,1.646721501,2.336909551,1.85044398,90.55175731,8.401351354,92.24296105,12.38726577,28.45561443,49.20580006,0,37.21416187,28.60050155,43.63306965,28.29632174,38.31582713,121.156494,91.75990708,86.21177331,133.8683666,28.18065935,28.21058933,42.94640435,229.4246295,186.4615049,85.62224139,8.53366933,13.49963803,11.76435787,22.28595991,64.29170941,34.40047101,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000002228,ENSG00000155367
Ipo4,1.435139012,NA,0.858586023,1.42476478,0.941588718,2.968910076,0,0,2.752725728,0.748831959,0,0,9.708042227,333.9301802,340.3379433,359.1456221,345.7547258,686.9455584,603.4563301,569.7473714,641.0235247,287.8453062,269.7637604,328.9066089,924.68607,829.9927499,625.4146328,86.19006023,104.0266224,69.40971145,214.9939662,163.4080948,123.8416956,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000002319,ENSG00000196497
Snrpd1,-0.020345334,0.994659531,0.615867914,1.126035566,1.116448295,872.8595623,534.8860362,3072.504511,1300.662906,1393.576275,1828.693166,1437.276475,1401.194095,679.4551584,811.5750955,749.4897528,874.8780528,1124.520469,1135.663791,1185.724244,1327.098904,400.5679436,423.1588399,427.3690969,959.6238309,983.943018,788.2830267,194.5676607,206.4650522,175.2889323,496.8458121,448.2560851,307.6384979,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002477,ENSG00000167088
Lcp2,0.87820458,0.777487934,3.100916787,1.538787718,3.246941928,130.6320433,375.9604731,174.9903232,485.8560909,664.9627794,436.2424662,487.011037,14.56206334,68.79580102,74.17621841,75.45685798,65.68427508,541.0872549,473.9129319,633.4691169,792.912633,62.40003142,96.97390081,101.6049078,289.9834149,235.22836,234.5304873,43.52171358,35.73433596,57.64535358,429.9879324,420.5749324,432.4630641,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002699,ENSG00000043462
Ggct,1.151126294,0.553633289,1.911203759,0.689265299,2.547241072,249.3884464,86.11385138,626.7095295,663.4069004,673.9487629,563.2962484,436.4323927,1223.213321,95.07734298,103.8467058,142.2071554,104.9123838,392.8763981,417.7774593,432.3083125,438.933779,85.54843018,99.61864355,90.0827018,139.7510433,174.9869507,129.3640386,60.58905224,46.85168492,70.58614724,470.6270358,230.3786254,336.1417453,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002797,ENSG00000006625
Epdr1,-0.136310617,0.976774557,-0.56034672,-0.560763728,-1.695396357,65.31602167,125.3201577,97.66901758,1.376362864,209.6729484,74.17590755,80.46602499,71.19230966,313.059544,308.9221331,311.2595392,292.8423931,216.434902,209.4284938,212.4058183,193.0793749,217.3936579,256.5400467,208.4471821,160.7136998,157.7751195,145.1855398,197.1277615,159.6133673,195.2883407,58.99224682,41.07525879,70.76668322,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,ENSMUSG00000002808,ENSG00000086289
Mcm2,0.739227226,0.853768955,-1.320376592,0.665898927,1.744318358,89.06730227,76.3122748,0,93.59267474,73.38553196,112.3654837,53.64401666,127.822556,439.0563481,513.9975605,333.7514872,375.8600185,149.3871334,216.985192,151.1829648,146.7403249,324.0775825,339.4086528,271.2955787,476.3181394,523.0484265,484.8824757,161.2863503,196.9358959,148.2309092,625.3178163,550.944232,526.8186418,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,ENSMUSG00000002870,ENSG00000073111
Il17ra,0.529433965,0.890291993,2.650568579,0.953066644,1.40637679,843.1704615,455.773311,16.2781696,875.3667814,674.6975948,557.420929,796.9968189,258.881126,299.1457865,333.3566521,625.4212652,312.9125882,2578.398397,2535.81202,2181.532698,2576.966057,530.4002671,990.0153691,867.3078731,1441.76493,2011.871827,1169.860407,157.8728826,150.084211,155.2895239,423.4332383,382.1784948,422.6343581,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002897,ENSG00000177663
Lamb1,5.404272149,6.44776E-07,-0.420082874,0.916668093,1.297912376,102.4273976,27.3043919,29.84331093,1964.069807,4003.255651,2563.842507,1913.94188,776.6433781,426.6885636,584.6831333,465.8009887,490.8074999,431.6935273,304.4269858,347.3459852,387.4459457,480.0776611,939.7652569,785.6049575,1455.740035,1300.44947,1409.044277,674.1598771,870.3296046,670.5683988,2547.154124,1351.911778,1553.918419,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000002900,ENSG00000091136
Relb,0.407643381,0.862686999,3.23589526,0.835355672,0.940053578,473.5411571,212.8342343,409.6672682,494.1142681,563.121633,375.2860273,449.0770538,540.4143506,450.651146,569.8478897,194.4465186,323.8599674,3497.070454,3026.997405,3742.09074,4224.576723,432.7744115,457.5404956,649.4334316,1083.070586,951.4317813,712.8982272,87.8967941,123.8790313,104.7027851,114.0516772,266.9891821,224.0944969,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000002983,ENSG00000104856
Hmgn2,-0.12287562,0.967471365,-1.673216413,0.537070213,0.644347251,1735.327939,1691.472073,2999.252748,1588.322745,1045.369414,2627.736606,2176.031219,2397.88643,892.0264537,1011.414555,871.3816003,967.0184942,221.1400085,329.2561372,259.8847659,362.9892249,502.2196077,573.0275957,526.8790582,726.7054253,842.4235169,755.7093479,135.6853423,119.1144532,136.4665513,216.304905,206.2692344,188.7111553,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000003038,ENSG00000198830
